County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
JOHNSTON,5/17/22,OS SMITHFIELD,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,169,0,0,169,N
JOHNSTON,5/17/22,OS SMITHFIELD,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,0,99,0,0,99,N
JOHNSTON,5/17/22,PR27B,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,24,0,0,0,24,Y
JOHNSTON,5/17/22,TRANSFER,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PR27A,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,5/17/22,PR27B,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,91,0,0,0,91,Y
JOHNSTON,5/17/22,PR28,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,227,0,0,0,227,Y
JOHNSTON,5/17/22,PR28,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,2,0,0,0,2,Y
JOHNSTON,5/17/22,TRANSFER,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PR27A,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,5,0,0,0,5,Y
JOHNSTON,5/17/22,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,2,0,0,0,2,Y
JOHNSTON,5/17/22,OS ARCHER LODGE,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,0,1,0,0,1,N
JOHNSTON,5/17/22,OS CLAYTON,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,0,2,0,0,2,N
JOHNSTON,5/17/22,OS CLEVELAND,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,1,0,0,1,N
JOHNSTON,5/17/22,PR26,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,80,0,0,0,80,Y
JOHNSTON,5/17/22,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,1,0,0,0,1,Y
JOHNSTON,5/17/22,ABSENTEE,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,0,3,0,3,N
JOHNSTON,5/17/22,ABSENTEE,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,David Barbour, ,1,0,0,3,0,3,N
JOHNSTON,5/17/22,OS ARCHER LODGE,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS ARCHER LODGE,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS ARCHER LODGE,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS SMITHFIELD,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,0,150,0,0,150,N
JOHNSTON,5/17/22,OS SMITHFIELD,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,3,0,0,3,N
JOHNSTON,5/17/22,TRANSFER,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,TRANSFER,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PR27B,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,0,0,0,0,Y
JOHNSTON,5/17/22,PR28,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,51,0,0,0,51,Y
