ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Stephanie de Sarachaga-Bilbao,Vi Alexander Lyles",45.0,43.0,45.0,38.0,44.0,41.0,40.0,43.0,36.0,44.0,46.0,42.0,41.0,40.0,41.0,41.0,43.0,40.0,38.0,43.0,45.0,36.0,42.0,40.0,40.0,39.0,42.0,43.0,41.0,46.0,36.0,43.0,44.0,43.0,39.0,39.0,31.0,43.0,41.0,38.0,43.0,36.0,41.0,47.0,39.0,35.0,38.0,38.0,46.0,42.0,41.0,40.0,42.0,42.0,41.0,45.0,41.0,41.0,45.0,45.0,42.0,39.0,42.0,43.0,45.0,43.0,42.0,44.0,39.0,41.0,43.0,40.0,43.0,37.0,42.0,39.0,42.0,42.0,45.0,41.0,41.0,42.0,41.0,40.0,38.0,38.0,44.0,38.0,40.0,41.0,42.0,44.0,45.0,42.0,43.0,45.0,41.0,44.0,42.0,44.0
"Stephanie de Sarachaga-Bilbao,",5.0,7.0,5.0,12.0,6.0,9.0,10.0,7.0,14.0,6.0,4.0,8.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,7.0,5.0,14.0,8.0,10.0,10.0,11.0,8.0,7.0,9.0,4.0,14.0,7.0,6.0,7.0,11.0,11.0,19.0,7.0,9.0,12.0,7.0,14.0,9.0,3.0,11.0,15.0,12.0,12.0,4.0,8.0,9.0,10.0,8.0,8.0,9.0,5.0,9.0,9.0,5.0,5.0,8.0,11.0,8.0,7.0,5.0,7.0,8.0,6.0,11.0,9.0,7.0,10.0,7.0,13.0,8.0,11.0,8.0,8.0,5.0,9.0,9.0,8.0,9.0,10.0,12.0,12.0,6.0,12.0,10.0,9.0,8.0,6.0,5.0,8.0,7.0,5.0,9.0,6.0,8.0,6.0
"Vi Alexander Lyles,",161.0,150.0,175.0,144.0,151.0,137.0,159.0,161.0,132.0,147.0,145.0,164.0,157.0,140.0,167.0,151.0,158.0,159.0,161.0,168.0,141.0,157.0,149.0,148.0,148.0,160.0,174.0,141.0,146.0,162.0,151.0,171.0,151.0,159.0,159.0,174.0,165.0,143.0,150.0,155.0,172.0,155.0,174.0,153.0,164.0,156.0,138.0,148.0,148.0,154.0,154.0,143.0,170.0,147.0,168.0,156.0,155.0,139.0,168.0,145.0,148.0,134.0,165.0,146.0,143.0,165.0,164.0,166.0,157.0,155.0,168.0,152.0,162.0,158.0,175.0,142.0,148.0,157.0,153.0,167.0,152.0,157.0,152.0,181.0,140.0,167.0,150.0,133.0,151.0,159.0,144.0,168.0,178.0,149.0,157.0,145.0,149.0,160.0,156.0,185.0
"Vi Alexander Lyles,Stephanie de Sarachaga-Bilbao",487.0,498.0,473.0,504.0,497.0,511.0,489.0,487.0,516.0,501.0,503.0,484.0,491.0,508.0,481.0,497.0,490.0,489.0,487.0,480.0,507.0,491.0,499.0,500.0,500.0,488.0,474.0,507.0,502.0,486.0,497.0,477.0,497.0,489.0,489.0,474.0,483.0,505.0,498.0,493.0,476.0,493.0,474.0,495.0,484.0,492.0,510.0,500.0,500.0,494.0,494.0,505.0,478.0,501.0,480.0,492.0,493.0,509.0,480.0,503.0,500.0,514.0,483.0,502.0,505.0,483.0,484.0,482.0,491.0,493.0,480.0,496.0,486.0,490.0,473.0,506.0,500.0,491.0,495.0,481.0,496.0,491.0,496.0,467.0,508.0,481.0,498.0,515.0,497.0,489.0,504.0,480.0,470.0,499.0,491.0,503.0,499.0,488.0,492.0,463.0
