ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Vi Alexander Lyles,Stephanie de Sarachaga-Bilbao",431.0,446.0,450.0,454.0,432.0,436.0,446.0,462.0,444.0,450.0,433.0,436.0,444.0,442.0,434.0,444.0,457.0,438.0,448.0,441.0,451.0,459.0,451.0,456.0,438.0,451.0,447.0,431.0,447.0,446.0,447.0,450.0,435.0,443.0,438.0,456.0,453.0,448.0,454.0,444.0,452.0,434.0,453.0,442.0,437.0,437.0,452.0,422.0,447.0,448.0,448.0,458.0,436.0,428.0,453.0,449.0,438.0,452.0,448.0,448.0,439.0,433.0,451.0,457.0,453.0,456.0,436.0,436.0,432.0,452.0,438.0,450.0,434.0,431.0,460.0,438.0,449.0,435.0,426.0,450.0,443.0,453.0,445.0,441.0,430.0,442.0,445.0,443.0,454.0,447.0,454.0,427.0,438.0,433.0,432.0,437.0,455.0,446.0,440.0,437.0
"Vi Alexander Lyles,",106.0,91.0,87.0,83.0,105.0,101.0,91.0,75.0,93.0,87.0,104.0,101.0,93.0,95.0,103.0,93.0,80.0,99.0,89.0,96.0,86.0,78.0,86.0,81.0,99.0,86.0,90.0,106.0,90.0,91.0,90.0,87.0,102.0,94.0,99.0,81.0,84.0,89.0,83.0,93.0,85.0,103.0,84.0,95.0,100.0,100.0,85.0,115.0,90.0,89.0,89.0,79.0,101.0,109.0,84.0,88.0,99.0,85.0,89.0,89.0,98.0,104.0,86.0,80.0,84.0,81.0,101.0,101.0,105.0,85.0,99.0,87.0,103.0,106.0,77.0,99.0,88.0,102.0,111.0,87.0,94.0,84.0,92.0,96.0,107.0,95.0,92.0,94.0,83.0,90.0,83.0,110.0,99.0,104.0,105.0,100.0,82.0,91.0,97.0,100.0
"Stephanie de Sarachaga-Bilbao,",58.0,63.0,71.0,73.0,63.0,59.0,62.0,69.0,70.0,57.0,71.0,68.0,67.0,64.0,62.0,69.0,64.0,71.0,74.0,59.0,62.0,60.0,70.0,71.0,65.0,68.0,72.0,75.0,68.0,66.0,68.0,69.0,75.0,65.0,64.0,62.0,80.0,69.0,59.0,71.0,64.0,74.0,82.0,78.0,66.0,82.0,53.0,56.0,72.0,78.0,72.0,72.0,79.0,75.0,64.0,77.0,62.0,60.0,67.0,64.0,70.0,62.0,67.0,50.0,68.0,69.0,73.0,81.0,69.0,68.0,67.0,73.0,60.0,69.0,73.0,74.0,78.0,56.0,71.0,63.0,71.0,65.0,70.0,72.0,65.0,75.0,68.0,79.0,76.0,77.0,54.0,63.0,70.0,72.0,58.0,61.0,61.0,66.0,72.0,76.0
"Stephanie de Sarachaga-Bilbao,Vi Alexander Lyles",228.0,223.0,215.0,213.0,223.0,227.0,224.0,217.0,216.0,229.0,215.0,218.0,219.0,222.0,224.0,217.0,222.0,215.0,212.0,227.0,224.0,226.0,216.0,215.0,221.0,218.0,214.0,211.0,218.0,220.0,218.0,217.0,211.0,221.0,222.0,224.0,206.0,217.0,227.0,215.0,222.0,212.0,204.0,208.0,220.0,204.0,233.0,230.0,214.0,208.0,214.0,214.0,207.0,211.0,222.0,209.0,224.0,226.0,219.0,222.0,216.0,224.0,219.0,236.0,218.0,217.0,213.0,205.0,217.0,218.0,219.0,213.0,226.0,217.0,213.0,212.0,208.0,230.0,215.0,223.0,215.0,221.0,216.0,214.0,221.0,211.0,218.0,207.0,210.0,209.0,232.0,223.0,216.0,214.0,228.0,225.0,225.0,220.0,214.0,210.0
