ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Vi Alexander Lyles,Stephanie de Sarachaga-Bilbao",556.0,568.0,535.0,563.0,538.0,557.0,545.0,554.0,554.0,569.0,574.0,531.0,546.0,546.0,553.0,554.0,547.0,558.0,542.0,546.0,542.0,551.0,539.0,543.0,536.0,550.0,535.0,548.0,558.0,564.0,548.0,553.0,557.0,553.0,536.0,555.0,549.0,565.0,548.0,566.0,554.0,548.0,553.0,544.0,544.0,554.0,541.0,544.0,548.0,555.0,534.0,543.0,547.0,541.0,550.0,551.0,561.0,545.0,546.0,565.0,560.0,543.0,545.0,563.0,551.0,549.0,562.0,548.0,552.0,549.0,557.0,563.0,545.0,551.0,559.0,559.0,544.0,559.0,557.0,559.0,557.0,559.0,554.0,535.0,557.0,551.0,551.0,541.0,567.0,549.0,558.0,556.0,549.0,555.0,541.0,554.0,531.0,527.0,547.0,551.0
"Vi Alexander Lyles,",110.0,98.0,131.0,103.0,128.0,109.0,121.0,112.0,112.0,97.0,92.0,135.0,120.0,120.0,113.0,112.0,119.0,108.0,124.0,120.0,124.0,115.0,127.0,123.0,130.0,116.0,131.0,118.0,108.0,102.0,118.0,113.0,109.0,113.0,130.0,111.0,117.0,101.0,118.0,100.0,112.0,118.0,113.0,122.0,122.0,112.0,125.0,122.0,118.0,111.0,132.0,123.0,119.0,125.0,116.0,115.0,105.0,121.0,120.0,101.0,106.0,123.0,121.0,103.0,115.0,117.0,104.0,118.0,114.0,117.0,109.0,103.0,121.0,115.0,107.0,107.0,122.0,107.0,109.0,107.0,109.0,107.0,112.0,131.0,109.0,115.0,115.0,125.0,99.0,117.0,108.0,110.0,117.0,111.0,125.0,112.0,135.0,139.0,119.0,115.0
"Stephanie de Sarachaga-Bilbao,",70.0,58.0,61.0,78.0,57.0,64.0,68.0,74.0,61.0,69.0,57.0,54.0,78.0,72.0,69.0,62.0,71.0,70.0,65.0,57.0,72.0,48.0,62.0,64.0,69.0,70.0,66.0,66.0,56.0,77.0,72.0,65.0,73.0,76.0,69.0,68.0,72.0,62.0,71.0,72.0,72.0,74.0,52.0,69.0,75.0,51.0,60.0,66.0,78.0,54.0,68.0,65.0,77.0,50.0,74.0,60.0,64.0,63.0,76.0,66.0,74.0,69.0,72.0,79.0,73.0,58.0,65.0,60.0,70.0,79.0,66.0,71.0,68.0,53.0,67.0,71.0,71.0,66.0,61.0,73.0,64.0,58.0,67.0,73.0,56.0,75.0,72.0,60.0,69.0,76.0,57.0,59.0,65.0,58.0,69.0,68.0,72.0,67.0,68.0,69.0
"Stephanie de Sarachaga-Bilbao,Vi Alexander Lyles",208.0,220.0,217.0,200.0,221.0,214.0,210.0,204.0,217.0,209.0,221.0,224.0,200.0,206.0,209.0,216.0,207.0,208.0,213.0,221.0,206.0,230.0,216.0,214.0,209.0,208.0,212.0,212.0,222.0,201.0,206.0,213.0,205.0,202.0,209.0,210.0,206.0,216.0,207.0,206.0,206.0,204.0,226.0,209.0,203.0,227.0,218.0,212.0,200.0,224.0,210.0,213.0,201.0,228.0,204.0,218.0,214.0,215.0,202.0,212.0,204.0,209.0,206.0,199.0,205.0,220.0,213.0,218.0,208.0,199.0,212.0,207.0,210.0,225.0,211.0,207.0,207.0,212.0,217.0,205.0,214.0,220.0,211.0,205.0,222.0,203.0,206.0,218.0,209.0,202.0,221.0,219.0,213.0,220.0,209.0,210.0,206.0,211.0,210.0,209.0
