ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Vi Alexander Lyles,Stephanie de Sarachaga-Bilbao",700.0,743.0,722.0,721.0,726.0,685.0,714.0,712.0,721.0,715.0,699.0,718.0,729.0,726.0,719.0,699.0,708.0,710.0,680.0,714.0,726.0,743.0,712.0,729.0,735.0,719.0,731.0,729.0,702.0,733.0,711.0,722.0,704.0,711.0,689.0,729.0,722.0,737.0,739.0,710.0,722.0,728.0,704.0,702.0,692.0,698.0,707.0,740.0,732.0,721.0,738.0,731.0,706.0,711.0,727.0,707.0,722.0,741.0,697.0,701.0,720.0,712.0,713.0,721.0,722.0,712.0,703.0,726.0,713.0,715.0,704.0,709.0,717.0,718.0,718.0,716.0,726.0,720.0,691.0,723.0,711.0,716.0,717.0,718.0,719.0,713.0,717.0,720.0,720.0,724.0,728.0,750.0,705.0,695.0,708.0,704.0,722.0,723.0,721.0,720.0
"Stephanie de Sarachaga-Bilbao,Vi Alexander Lyles",300.0,257.0,278.0,279.0,274.0,315.0,286.0,288.0,279.0,285.0,301.0,282.0,271.0,274.0,281.0,301.0,292.0,290.0,320.0,286.0,274.0,257.0,288.0,271.0,265.0,281.0,269.0,271.0,298.0,267.0,289.0,278.0,296.0,289.0,311.0,271.0,278.0,263.0,261.0,290.0,278.0,272.0,296.0,298.0,308.0,302.0,293.0,260.0,268.0,279.0,262.0,269.0,294.0,289.0,273.0,293.0,278.0,259.0,303.0,299.0,280.0,288.0,287.0,279.0,278.0,288.0,297.0,274.0,287.0,285.0,296.0,291.0,283.0,282.0,282.0,284.0,274.0,280.0,309.0,277.0,289.0,284.0,283.0,282.0,281.0,287.0,283.0,280.0,280.0,276.0,272.0,250.0,295.0,305.0,292.0,296.0,278.0,277.0,279.0,280.0
