,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,blockid,total_vap,hs_grad,scol_nd,bach_deg
536,536,533,078.1,078.1,MECKLENBURG,,60,,4260.0,1204.0,857.0,1264.0
537,537,534,079,079,MECKLENBURG,,60,,3271.0,950.0,821.0,613.0
561,561,614,095,095,MECKLENBURG,,60,,2479.0,792.0,656.0,340.0
573,573,565,080,080,MECKLENBURG,,60,,4817.0,1388.0,1369.0,663.0
577,577,569,081,081,MECKLENBURG,,60,,6090.0,2085.0,1534.0,481.0
581,581,572,082,082,MECKLENBURG,,60,,4125.0,1223.0,1347.0,436.0
583,583,615,096,096,MECKLENBURG,,60,,1454.0,313.0,373.0,381.0
584,584,574,083,083,MECKLENBURG,,60,,3977.0,1314.0,874.0,719.0
585,585,575,084,084,MECKLENBURG,,60,,2807.0,819.0,609.0,552.0
586,586,576,085,085,MECKLENBURG,,60,,2991.0,201.0,642.0,1039.0
587,587,618,099,099,MECKLENBURG,,60,,3555.0,1134.0,1032.0,553.0
592,592,577,086,086,MECKLENBURG,,60,,1270.0,95.0,95.0,580.0
593,593,578,087,087,MECKLENBURG,,60,,2410.0,409.0,861.0,491.0
594,594,579,088,088,MECKLENBURG,,60,,3312.0,623.0,754.0,1084.0
595,595,580,089,089,MECKLENBURG,,60,,7092.0,1545.0,1810.0,1094.0
619,619,605,090,090,MECKLENBURG,,60,,1440.0,187.0,297.0,521.0
622,622,609,091,091,MECKLENBURG,,60,,4449.0,537.0,438.0,1899.0
624,624,611,092,092,MECKLENBURG,,60,,2838.0,268.0,368.0,1353.0
626,626,612,093,093,MECKLENBURG,,60,,2085.0,239.0,183.0,940.0
628,628,613,094,094,MECKLENBURG,,60,,3736.0,759.0,1335.0,623.0
629,629,616,097,097,MECKLENBURG,,60,,1660.0,470.0,353.0,580.0
630,630,617,098,098,MECKLENBURG,,60,,2839.0,785.0,714.0,654.0
638,638,672,109,109,MECKLENBURG,,60,,3478.0,163.0,388.0,1737.0
652,652,649,100,100,MECKLENBURG,,60,,2832.0,203.0,497.0,1409.0
656,656,653,101,101,MECKLENBURG,,60,,3125.0,205.0,709.0,1110.0
659,659,656,102,102,MECKLENBURG,,60,,4563.0,1011.0,1044.0,1267.0
661,661,658,103,103,MECKLENBURG,,60,,4108.0,522.0,595.0,1606.0
663,663,660,104,104,MECKLENBURG,,60,,4287.0,1557.0,1041.0,565.0
669,669,664,105,105,MECKLENBURG,,60,,4607.0,907.0,1708.0,936.0
670,670,665,106,106,MECKLENBURG,,60,,1759.0,97.0,144.0,774.0
673,673,668,107.1,107.1,MECKLENBURG,,60,,4621.0,986.0,1077.0,1070.0
675,675,670,108,108,MECKLENBURG,,60,,2654.0,762.0,464.0,344.0
697,697,699,110,110,MECKLENBURG,,60,,672.0,70.0,54.0,377.0
703,703,706,111,111,MECKLENBURG,,60,,2875.0,138.0,370.0,1228.0
705,705,708,112,112,MECKLENBURG,,60,,2208.0,256.0,224.0,898.0
706,706,710,113,113,MECKLENBURG,,60,,3302.0,165.0,584.0,1426.0
709,709,713,114,114,MECKLENBURG,,60,,2849.0,281.0,662.0,1208.0
710,710,719,118,118,MECKLENBURG,,60,,2689.0,355.0,331.0,990.0
