County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct
EDGECOMBE	12/06/2022	1202	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	0	0	0	0	0	Y
EDGECOMBE	12/06/2022	1202	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	3	0	0	0	3	Y
EDGECOMBE	12/06/2022	ABSENTEE	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	0	0	0	0	0	N
EDGECOMBE	12/06/2022	ABSENTEE	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	0	0	0	0	0	N
EDGECOMBE	12/06/2022	OS-BOE	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	0	0	0	0	0	N
EDGECOMBE	12/06/2022	OS-BOE	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	0	0	0	0	0	N
EDGECOMBE	12/06/2022	OS-RMT	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	0	0	0	0	0	N
EDGECOMBE	12/06/2022	OS-RMT	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	0	4	0	0	4	N
EDGECOMBE	12/06/2022	PROVISIONAL	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	0	0	0	0	0	N
EDGECOMBE	12/06/2022	PROVISIONAL	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	0	0	0	0	0	N
NASH	12/06/2022	P15A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	0	0	0	0	0	Y
NASH	12/06/2022	P15A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	0	0	0	0	0	Y
NASH	12/06/2022	P19A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	25	9	1	0	35	Y
NASH	12/06/2022	P19A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	10	16	3	0	29	Y
NASH	12/06/2022	P20A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	72	58	0	0	130	Y
NASH	12/06/2022	P20A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	66	64	3	0	133	Y
NASH	12/06/2022	P21A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	33	38	3	0	74	Y
NASH	12/06/2022	P21A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	67	52	6	0	125	Y
NASH	12/06/2022	P22A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	12	7	4	0	23	Y
NASH	12/06/2022	P22A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	69	44	3	0	116	Y
NASH	12/06/2022	P23A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Kathy Hawk	 	1	11	14	2	0	27	Y
NASH	12/06/2022	P23A	640001	C	NASH COUNTY PUBLIC SCHOOLS BOARD OF EDUCATION DIST 08	Zacques (Zack) Gray	 	1	32	21	1	0	54	Y
