ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Ryan Patton,Gwen Williams,Melissa Calloway,Todd Dulaney,Gidget Kidd",3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0,6.0,1.0,4.0,1.0,3.0,2.0,9.0,0.0,0.0,0.0,5.0,1.0,2.0,3.0,2.0,5.0,2.0,4.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,2.0,8.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0
"Ryan Patton,Gwen Williams,Gidget Kidd,Todd Dulaney,Melissa Calloway",3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0
"Ryan Patton,Gwen Williams,Gidget Kidd,Melissa Calloway,Todd Dulaney",3.0,3.0,0.0,2.0,1.0,4.0,2.0,1.0,2.0,5.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,5.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,3.0,2.0,3.0,0.0,4.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,1.0,3.0,4.0
"Ryan Patton,Gwen Williams,Todd Dulaney,Gidget Kidd,Melissa Calloway",2.0,0.0,1.0,4.0,1.0,6.0,0.0,1.0,2.0,3.0,1.0,9.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,3.0,1.0,5.0,1.0,1.0,3.0,0.0,2.0,1.0,5.0,0.0,1.0,2.0,4.0,5.0,4.0,1.0,6.0,0.0,1.0,2.0,2.0,1.0,7.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,11.0,2.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,5.0,7.0,1.0
"Ryan Patton,Gwen Williams,Todd Dulaney,Melissa Calloway,Gidget Kidd",4.0,15.0,0.0,4.0,1.0,2.0,6.0,5.0,3.0,8.0,2.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,4.0,6.0,0.0,4.0,0.0,2.0,5.0,1.0,3.0,3.0,0.0,10.0,8.0,3.0,0.0,8.0,3.0,0.0,5.0,3.0,4.0,2.0,11.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,3.0,7.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,6.0,1.0,6.0,3.0,0.0,3.0,6.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,4.0,0.0,4.0,5.0,1.0,0.0,2.0,3.0
"Ryan Patton,Todd Dulaney,Melissa Calloway,Gwen Williams,Gidget Kidd",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,4.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,2.0,3.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0
"Ryan Patton,Todd Dulaney,Gwen Williams,Gidget Kidd,Melissa Calloway",3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,4.0,1.0,4.0,0.0
"Gidget Kidd,Melissa Calloway,Ryan Patton,Gwen Williams,Todd Dulaney",76.0,41.0,18.0,53.0,59.0,54.0,64.0,91.0,44.0,76.0,100.0,23.0,41.0,68.0,40.0,70.0,63.0,63.0,75.0,59.0,51.0,50.0,81.0,21.0,51.0,101.0,7.0,44.0,58.0,41.0,20.0,45.0,27.0,38.0,5.0,80.0,89.0,99.0,49.0,55.0,85.0,63.0,40.0,105.0,9.0,92.0,35.0,43.0,57.0,14.0,54.0,51.0,108.0,65.0,66.0,63.0,41.0,86.0,18.0,76.0,28.0,75.0,74.0,101.0,34.0,66.0,25.0,59.0,45.0,38.0,49.0,75.0,67.0,14.0,86.0,55.0,75.0,77.0,41.0,68.0,63.0,93.0,50.0,68.0,111.0,100.0,82.0,85.0,59.0,66.0,10.0,43.0,63.0,91.0,45.0,64.0,64.0,73.0,82.0,72.0
"Gidget Kidd,Melissa Calloway,Ryan Patton,Todd Dulaney,Gwen Williams",22.0,45.0,113.0,27.0,59.0,31.0,33.0,23.0,53.0,41.0,28.0,79.0,61.0,22.0,45.0,46.0,47.0,30.0,5.0,25.0,50.0,50.0,57.0,60.0,40.0,26.0,99.0,42.0,50.0,45.0,85.0,32.0,105.0,53.0,115.0,32.0,16.0,33.0,64.0,43.0,24.0,51.0,53.0,15.0,81.0,5.0,78.0,46.0,17.0,71.0,34.0,56.0,10.0,35.0,68.0,44.0,55.0,19.0,88.0,37.0,46.0,15.0,34.0,30.0,86.0,43.0,63.0,47.0,41.0,81.0,26.0,38.0,62.0,101.0,22.0,94.0,38.0,30.0,24.0,52.0,18.0,11.0,44.0,10.0,50.0,28.0,30.0,51.0,33.0,36.0,72.0,61.0,73.0,28.0,38.0,32.0,31.0,52.0,31.0,17.0
"Gidget Kidd,Melissa Calloway,Gwen Williams,Todd Dulaney,Ryan Patton",4.0,0.0,3.0,4.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,0.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,0.0,2.0
