county_id,county,election_dt,result_type_lbl,result_type_desc,contest_id,contest_title,contest_party_lbl,contest_vote_for,precinct_code,precinct_name,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,vote_ct
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,OVER VOTE,,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,OVER VOTE,,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,UNDER VOTE,,1,ELECTION DAY,V,Election Day,164
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,UNDER VOTE,,2,ONE-STOP,O,Absentee: One-Stop,121
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,UNDER VOTE,,3,MAIL,M,Absentee: By-Mail,2
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,UNDER VOTE,,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,UNDER VOTE,,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,Write-In (Miscellaneous),NON,1,ELECTION DAY,V,Election Day,2
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,Write-In (Miscellaneous),NON,2,ONE-STOP,O,Absentee: One-Stop,1
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,Write-In (Miscellaneous),NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,Write-In (Miscellaneous),NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AE,ASHEBORO EAST,0,Write-In (Miscellaneous),NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2535,Charles Swiers,NON,1,ELECTION DAY,V,Election Day,56
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2535,Charles Swiers,NON,2,ONE-STOP,O,Absentee: One-Stop,68
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2535,Charles Swiers,NON,3,MAIL,M,Absentee: By-Mail,2
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2535,Charles Swiers,NON,4,PROVISIONAL,P,Provisional,1
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2535,Charles Swiers,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2533,Eddie Burks,NON,1,ELECTION DAY,V,Election Day,74
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2533,Eddie Burks,NON,2,ONE-STOP,O,Absentee: One-Stop,99
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2533,Eddie Burks,NON,3,MAIL,M,Absentee: By-Mail,2
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2533,Eddie Burks,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2533,Eddie Burks,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2536,Harry Okeke,NON,1,ELECTION DAY,V,Election Day,29
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2536,Harry Okeke,NON,2,ONE-STOP,O,Absentee: One-Stop,20
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2536,Harry Okeke,NON,3,MAIL,M,Absentee: By-Mail,1
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2536,Harry Okeke,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2536,Harry Okeke,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2534,Jane Hughes Redding,NON,1,ELECTION DAY,V,Election Day,61
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2534,Jane Hughes Redding,NON,2,ONE-STOP,O,Absentee: One-Stop,64
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2534,Jane Hughes Redding,NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2534,Jane Hughes Redding,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2534,Jane Hughes Redding,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2537,Joey Trogdon,NON,1,ELECTION DAY,V,Election Day,67
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2537,Joey Trogdon,NON,2,ONE-STOP,O,Absentee: One-Stop,73
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2537,Joey Trogdon,NON,3,MAIL,M,Absentee: By-Mail,2
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2537,Joey Trogdon,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,2537,Joey Trogdon,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,OVER VOTE,,1,ELECTION DAY,V,Election Day,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,OVER VOTE,,2,ONE-STOP,O,Absentee: One-Stop,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,OVER VOTE,,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,OVER VOTE,,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,OVT,OVER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,OVER VOTE,,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,UNDER VOTE,,1,ELECTION DAY,V,Election Day,51
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,UNDER VOTE,,2,ONE-STOP,O,Absentee: One-Stop,40
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,UNDER VOTE,,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,UNDER VOTE,,4,PROVISIONAL,P,Provisional,2
76,RANDOLPH,11/07/2023,UVT,UNDER VOTES,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,UNDER VOTE,,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,Write-In (Miscellaneous),NON,1,ELECTION DAY,V,Election Day,1
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,Write-In (Miscellaneous),NON,2,ONE-STOP,O,Absentee: One-Stop,5
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,Write-In (Miscellaneous),NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,Write-In (Miscellaneous),NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,WRI,WRITE-IN,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AN,ASHEBORO NORTH,0,Write-In (Miscellaneous),NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2535,Charles Swiers,NON,1,ELECTION DAY,V,Election Day,116
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2535,Charles Swiers,NON,2,ONE-STOP,O,Absentee: One-Stop,100
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2535,Charles Swiers,NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2535,Charles Swiers,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2535,Charles Swiers,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2533,Eddie Burks,NON,1,ELECTION DAY,V,Election Day,120
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2533,Eddie Burks,NON,2,ONE-STOP,O,Absentee: One-Stop,107
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2533,Eddie Burks,NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2533,Eddie Burks,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2533,Eddie Burks,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2536,Harry Okeke,NON,1,ELECTION DAY,V,Election Day,43
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2536,Harry Okeke,NON,2,ONE-STOP,O,Absentee: One-Stop,23
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2536,Harry Okeke,NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2536,Harry Okeke,NON,4,PROVISIONAL,P,Provisional,0
