county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
RANDOLPH,11/07/2023,voter,AR,01,REP,M,NL,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,07,UNA,U,HL,M,Age 18 - 25,3,11/27/2023,
RANDOLPH,11/07/2023,voter,SO,34,DEM,B,UN,F,Age 41 - 65,6,11/27/2023,
RANDOLPH,11/07/2023,voter,TB,36,UNA,W,NL,M,Age Over 66,52,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,33,UNA,B,NL,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,LB,23,LIB,B,NL,M,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,ST,35,UNA,O,HL,F,Age 18 - 25,5,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,03,REP,O,NL,F,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,40,UNA,O,NL,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,ST,35,UNA,W,UN,F,Age Over 66,10,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,37,DEM,O,HL,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,39,REP,U,HL,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AN,10,UNA,M,HL,M,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,UNA,U,NL,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,UNA,O,UN,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SE,17,UNA,U,UN,M,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,26,REP,W,UN,F,Age 26 - 40,33,11/27/2023,
RANDOLPH,11/07/2023,voter,AN,10,REP,W,NL,M,Age Over 66,66,11/27/2023,
RANDOLPH,11/07/2023,voter,LB,23,REP,W,NL,U,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,02,UNA,W,NL,M,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,05,UNA,B,UN,F,Age 41 - 65,18,11/27/2023,
RANDOLPH,11/07/2023,voter,RM,31,DEM,M,NL,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,24,REP,W,UN,M,Age 18 - 25,28,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,15,UNA,A,UN,M,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,BC,13,UNA,M,NL,M,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,05,REP,A,UN,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,ST,35,UNA,U,UN,F,Age Over 66,2,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,24,DEM,W,UN,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,03,REP,A,UN,M,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,15,DEM,W,HL,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,GR,21,REP,W,UN,M,Age 26 - 40,71,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,07,UNA,W,UN,F,Age 18 - 25,25,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,12,UNA,A,NL,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,06,DEM,U,UN,F,Age 18 - 25,6,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,15,DEM,B,NL,M,Age 26 - 40,4,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,REP,O,NL,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,18,REP,U,NL,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,01,DEM,W,UN,F,Age 41 - 65,6,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,UNA,W,UN,U,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,26,UNA,W,UN,M,Age 41 - 65,21,11/27/2023,
RANDOLPH,11/07/2023,voter,LB,23,DEM,B,UN,M,Age 18 - 25,3,11/27/2023,
RANDOLPH,11/07/2023,voter,ST,35,REP,W,UN,U,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,15,DEM,O,UN,F,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,TB,36,UNA,U,NL,U,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,33,UNA,B,UN,F,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,29,REP,U,UN,U,Age 26 - 40,16,11/27/2023,
RANDOLPH,11/07/2023,voter,DR,20,DEM,B,NL,U,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AN,10,DEM,U,UN,M,Age 18 - 25,8,11/27/2023,
RANDOLPH,11/07/2023,voter,AE,05,DEM,W,UN,F,Age Over 66,19,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,01,DEM,O,NL,M,Age 41 - 65,4,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,25,REP,B,NL,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,02,REP,O,HL,M,Age 18 - 25,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,02,UNA,W,NL,F,Age 18 - 25,27,11/27/2023,
RANDOLPH,11/07/2023,voter,DR,19,DEM,U,UN,M,Age 26 - 40,1,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,32,REP,O,HL,M,Age 41 - 65,3,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,03,DEM,W,UN,U,Age Over 66,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SW,18,UNA,W,NL,U,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,33,UNA,U,UN,M,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,25,REP,W,UN,F,Age 41 - 65,38,11/27/2023,
RANDOLPH,11/07/2023,voter,NM,25,UNA,W,NL,M,Age 18 - 25,14,11/27/2023,
