ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Andy Moore,",35.0,29.0,43.0,42.0,41.0,37.0,45.0,42.0,32.0,43.0,37.0,39.0,39.0,33.0,44.0,36.0,43.0,34.0,41.0,49.0,24.0,36.0,32.0,34.0,41.0,36.0,36.0,45.0,27.0,41.0,42.0,35.0,42.0,31.0,28.0,48.0,40.0,39.0,47.0,41.0,32.0,25.0,32.0,34.0,33.0,44.0,42.0,43.0,33.0,29.0,36.0,47.0,34.0,40.0,40.0,33.0,27.0,35.0,26.0,42.0,38.0,31.0,44.0,36.0,37.0,26.0,37.0,41.0,39.0,32.0,41.0,32.0,38.0,40.0,37.0,43.0,43.0,30.0,41.0,30.0,35.0,31.0,44.0,35.0,38.0,37.0,39.0,43.0,34.0,45.0,25.0,41.0,31.0,36.0,44.0,37.0,43.0,27.0,41.0,40.0
"Andy Moore,Marlon Lee",121.0,127.0,113.0,114.0,115.0,119.0,111.0,114.0,124.0,113.0,119.0,117.0,117.0,123.0,112.0,120.0,113.0,122.0,115.0,107.0,132.0,120.0,124.0,122.0,115.0,120.0,120.0,111.0,129.0,115.0,114.0,121.0,114.0,125.0,128.0,108.0,116.0,117.0,109.0,115.0,124.0,131.0,124.0,122.0,123.0,112.0,114.0,113.0,123.0,127.0,120.0,109.0,122.0,116.0,116.0,123.0,129.0,121.0,130.0,114.0,118.0,125.0,112.0,120.0,119.0,130.0,119.0,115.0,117.0,124.0,115.0,124.0,118.0,116.0,119.0,113.0,113.0,126.0,115.0,126.0,121.0,125.0,112.0,121.0,118.0,119.0,117.0,113.0,122.0,111.0,131.0,115.0,125.0,120.0,112.0,119.0,113.0,129.0,115.0,116.0
"Marlon Lee,",47.0,51.0,55.0,52.0,49.0,43.0,55.0,54.0,46.0,50.0,45.0,57.0,52.0,54.0,54.0,46.0,54.0,44.0,54.0,60.0,56.0,51.0,52.0,46.0,69.0,58.0,46.0,55.0,57.0,45.0,42.0,54.0,48.0,48.0,52.0,34.0,42.0,52.0,51.0,55.0,52.0,47.0,54.0,52.0,49.0,63.0,59.0,47.0,40.0,63.0,55.0,52.0,49.0,41.0,53.0,41.0,45.0,54.0,43.0,60.0,50.0,43.0,50.0,51.0,48.0,43.0,56.0,57.0,42.0,54.0,50.0,58.0,54.0,61.0,53.0,48.0,49.0,58.0,50.0,52.0,49.0,56.0,54.0,48.0,49.0,54.0,65.0,51.0,45.0,48.0,57.0,47.0,45.0,51.0,50.0,51.0,59.0,48.0,54.0,60.0
"Marlon Lee,Andy Moore",243.0,239.0,235.0,238.0,241.0,247.0,235.0,236.0,244.0,240.0,245.0,233.0,238.0,236.0,236.0,244.0,236.0,246.0,236.0,230.0,234.0,239.0,238.0,244.0,221.0,232.0,244.0,235.0,233.0,245.0,248.0,236.0,242.0,242.0,238.0,256.0,248.0,238.0,239.0,235.0,238.0,243.0,236.0,238.0,241.0,227.0,231.0,243.0,250.0,227.0,235.0,238.0,241.0,249.0,237.0,249.0,245.0,236.0,247.0,230.0,240.0,247.0,240.0,239.0,242.0,247.0,234.0,233.0,248.0,236.0,240.0,232.0,236.0,229.0,237.0,242.0,241.0,232.0,240.0,238.0,241.0,234.0,236.0,242.0,241.0,236.0,225.0,239.0,245.0,242.0,233.0,243.0,245.0,239.0,240.0,239.0,231.0,242.0,236.0,230.0
