ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Marlon Lee,Andy Moore",331.0,324.0,323.0,340.0,339.0,328.0,322.0,315.0,335.0,333.0,333.0,331.0,325.0,314.0,338.0,329.0,335.0,340.0,325.0,321.0,317.0,336.0,349.0,320.0,343.0,334.0,323.0,336.0,344.0,332.0,337.0,318.0,333.0,322.0,321.0,327.0,323.0,338.0,331.0,332.0,328.0,322.0,327.0,326.0,335.0,342.0,340.0,342.0,338.0,312.0,347.0,338.0,332.0,332.0,335.0,321.0,332.0,345.0,330.0,336.0,327.0,337.0,338.0,335.0,328.0,326.0,332.0,326.0,330.0,337.0,327.0,326.0,328.0,337.0,323.0,335.0,342.0,337.0,335.0,336.0,328.0,323.0,343.0,346.0,343.0,328.0,327.0,332.0,329.0,316.0,336.0,331.0,342.0,344.0,338.0,327.0,326.0,332.0,329.0,313.0
"Marlon Lee,",70.0,77.0,78.0,61.0,62.0,73.0,79.0,86.0,66.0,68.0,68.0,70.0,76.0,87.0,63.0,72.0,66.0,61.0,76.0,80.0,84.0,65.0,52.0,81.0,58.0,67.0,78.0,65.0,57.0,69.0,64.0,83.0,68.0,79.0,80.0,74.0,78.0,63.0,70.0,69.0,73.0,79.0,74.0,75.0,66.0,59.0,61.0,59.0,63.0,89.0,54.0,63.0,69.0,69.0,66.0,80.0,69.0,56.0,71.0,65.0,74.0,64.0,63.0,66.0,73.0,75.0,69.0,75.0,71.0,64.0,74.0,75.0,73.0,64.0,78.0,66.0,59.0,64.0,66.0,65.0,73.0,78.0,58.0,55.0,58.0,73.0,74.0,69.0,72.0,85.0,65.0,70.0,59.0,57.0,63.0,74.0,75.0,69.0,72.0,88.0
"Andy Moore,",143.0,131.0,109.0,114.0,140.0,114.0,123.0,112.0,141.0,109.0,137.0,114.0,123.0,117.0,135.0,136.0,132.0,118.0,129.0,119.0,133.0,114.0,123.0,107.0,133.0,128.0,141.0,121.0,131.0,106.0,136.0,124.0,102.0,134.0,127.0,144.0,130.0,132.0,116.0,117.0,123.0,127.0,126.0,137.0,126.0,141.0,137.0,114.0,124.0,129.0,137.0,137.0,115.0,123.0,121.0,126.0,121.0,137.0,139.0,125.0,131.0,135.0,124.0,130.0,103.0,122.0,120.0,120.0,114.0,138.0,114.0,118.0,122.0,130.0,111.0,110.0,123.0,134.0,133.0,120.0,117.0,132.0,127.0,119.0,140.0,123.0,144.0,121.0,124.0,120.0,111.0,120.0,130.0,137.0,139.0,134.0,125.0,111.0,133.0,140.0
"Andy Moore,Marlon Lee",382.0,394.0,416.0,411.0,385.0,411.0,402.0,413.0,384.0,416.0,388.0,411.0,402.0,408.0,390.0,389.0,393.0,407.0,396.0,406.0,392.0,411.0,402.0,418.0,392.0,397.0,384.0,404.0,394.0,419.0,389.0,401.0,423.0,391.0,398.0,381.0,395.0,393.0,409.0,408.0,402.0,398.0,399.0,388.0,399.0,384.0,388.0,411.0,401.0,396.0,388.0,388.0,410.0,402.0,404.0,399.0,404.0,388.0,386.0,400.0,394.0,390.0,401.0,395.0,422.0,403.0,405.0,405.0,411.0,387.0,411.0,407.0,403.0,395.0,414.0,415.0,402.0,391.0,392.0,405.0,408.0,393.0,398.0,406.0,385.0,402.0,381.0,404.0,401.0,405.0,414.0,405.0,395.0,388.0,386.0,391.0,400.0,414.0,392.0,385.0
