"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US370010204004","Block Group 4; Census Tract 204; Alamance County; North Carolina","223","124","38","38","0","14","39","34","0","14","0","14","0","14","93","105","4","7","9","24","12","34","14","22","14","24","0","14","0","14","0","14","0","14",
"1500000US370010204005","Block Group 5; Census Tract 204; Alamance County; North Carolina","419","201","19","44","13","22","50","73","174","174","0","14","21","41","21","36","11","19","0","14","0","14","68","78","30","45","12","26","0","14","0","14","0","14",
"1500000US370010205011","Block Group 1; Census Tract 205.01; Alamance County; North Carolina","914","150","21","22","30","44","46","47","57","39","31","33","48","45","56","43","24","33","91","75","108","68","117","77","105","66","86","53","74","61","20","19","0","14",
"1500000US370010205012","Block Group 2; Census Tract 205.01; Alamance County; North Carolina","404","85","23","34","8","12","16","18","18","29","0","14","30","25","11","12","11","14","27","25","12","16","45","33","72","42","62","38","31","25","38","38","0","14",
"1500000US370010205021","Block Group 1; Census Tract 205.02; Alamance County; North Carolina","991","184","127","122","31","50","66","72","27","28","98","148","113","82","25","34","24","29","46","62","66","68","122","73","94","71","59","36","56","44","37","56","0","14",
"1500000US370010205022","Block Group 2; Census Tract 205.02; Alamance County; North Carolina","218","87","46","49","0","14","17","27","0","14","12","18","0","14","62","84","8","12","38","43","5","13","24","34","6","11","0","14","0","14","0","14","0","14",
"1500000US370010205023","Block Group 3; Census Tract 205.02; Alamance County; North Carolina","296","128","16","24","0","14","0","14","0","14","0","14","43","65","46","53","12","15","12","21","17","26","112","105","36","32","0","14","2","19","0","14","0","14",
"1500000US370010206011","Block Group 1; Census Tract 206.01; Alamance County; North Carolina","430","142","0","14","13","22","0","14","18","27","0","14","0","14","20","22","0","14","15","13","48","40","14","16","85","102","37","34","38","24","76","62","66","65",
"1500000US370010206012","Block Group 2; Census Tract 206.01; Alamance County; North Carolina","412","84","7","11","0","14","0","14","10","17","0","14","0","14","22","39","11","18","8","14","16","18","16","19","32","25","78","51","16","20","96","69","100","46",
"1500000US370010206013","Block Group 3; Census Tract 206.01; Alamance County; North Carolina","592","132","9","15","36","43","45","54","79","92","0","14","0","14","17","20","0","14","0","14","25","23","27","24","129","75","63","35","51","39","73","53","38","31",
"1500000US370010206021","Block Group 1; Census Tract 206.02; Alamance County; North Carolina","233","91","0","14","0","14","28","28","10","21","19","21","21","34","15","26","0","14","32","38","13","27","37","45","16","18","42","37","0","14","0","14","0","14",
"1500000US370010206022","Block Group 2; Census Tract 206.02; Alamance County; North Carolina","1001","248","9","14","56","53","103","141","9","16","47","50","8","14","9","13","67","73","79","64","59","54","120","128","85","46","59","44","44","42","136","65","111","77",
"1500000US370010207011","Block Group 1; Census Tract 207.01; Alamance County; North Carolina","703","245","16","26","51","47","75","102","0","14","144","170","0","14","62","98","65","83","0","14","15","28","118","96","137","116","17","27","3","11","0","14","0","14",
"1500000US370010207012","Block Group 2; Census Tract 207.01; Alamance County; North Carolina","763","173","0","14","15","23","67","79","0","14","16","25","85","77","63","76","0","14","0","14","83","86","60","50","170","100","16","28","138","96","22","38","28","38",
"1500000US370010207013","Block Group 3; Census Tract 207.01; Alamance County; North Carolina","340","156","66","74","0","14","18","31","0","14","0","14","65","66","39","56","0","14","52","83","40","66","0","14","0","14","0","14","16","28","44","45","0","14",
"1500000US370010207014","Block Group 4; Census Tract 207.01; Alamance County; North Carolina","898","225","28","34","0","14","0","14","0","14","26","43","47","40","0","14","28","46","0","14","0","14","232","129","49","57","157","112","171","144","92","80","68","72",
"1500000US370010207021","Block Group 1; Census Tract 207.02; Alamance County; North Carolina","659","293","0","14","0","14","44","51","24","34","96","111","76","82","16","27","8","17","0","14","205","218","30","56","103","95","23","42","0","14","34","58","0","14",
"1500000US370010207022","Block Group 2; Census Tract 207.02; Alamance County; North Carolina","664","186","0","14","116","128","31","56","28","51","65","80","26","33","3","5","19","32","72","94","138","117","15","25","66","49","0","14","18","31","67","73","0","14",
"1500000US370010207023","Block Group 3; Census Tract 207.02; Alamance County; North Carolina","864","269","0","14","21","36","18","30","0","14","194","118","52","81","0","14","18","33","54","67","261","196","99","94","21","36","126","130","0","14","0","14","0","14",
"1500000US370010207024","Block Group 4; Census Tract 207.02; Alamance County; North Carolina","397","198","0","14","0","14","55","69","14","23","8","27","0","14","10","44","0","14","0","14","49","57","41","49","73","100","4","14","134","153","0","14","9","15",
"1500000US370010208011","Block Group 1; Census Tract 208.01; Alamance County; North Carolina","675","109","18","19","15","14","37","36","7","10","69","86","49","34","20","24","45","34","56","45","26","20","58","35","107","45","96","45","27","20","22","31","23","25",
"1500000US370010208021","Block Group 1; Census Tract 208.02; Alamance County; North Carolina","259","138","64","79","29","34","13","23","0","14","0","14","56","86","0","14","25","42","0","14","35","51","37","54","0","14","0","14","0","14","0","14","0","14",
"1500000US370010208022","Block Group 2; Census Tract 208.02; Alamance County; North Carolina","322","136","48","75","15","25","84","90","0","14","0","14","0","14","0","14","42","66","16","29","14","26","74","82","18","29","0","14","11","20","0","14","0","14",
"1500000US370010208023","Block Group 3; Census Tract 208.02; Alamance County; North Carolina","542","237","28","39","24","34","20","31","100","91","0","14","42","43","62","74","18","30","0","14","0","14","30","36","153","167","33","39","0","14","32","49","0","14",
"1500000US370010208024","Block Group 4; Census Tract 208.02; Alamance County; North Carolina","366","196","28","45","84","128","0","14","22","43","0","14","0","14","0","14","0","14","45","70","0","14","171","141","16","27","0","14","0","14","0","14","0","14",
"1500000US370010208025","Block Group 5; Census Tract 208.02; Alamance County; North Carolina","157","102","21","35","0","14","0","14","0","14","0","14","35","38","32","52","12","22","0","14","43","62","0","14","14","26","0","14","0","14","0","14","0","14",
"1500000US370010208026","Block Group 6; Census Tract 208.02; Alamance County; North Carolina","585","173","33","44","69","86","91","94","20","24","16","27","74","91","19","31","0","14","0","14","91","87","39","41","38","43","51","58","44","65","0","14","0","14",
"1500000US370010209011","Block Group 1; Census Tract 209.01; Alamance County; North Carolina","535","142","23","40","0","14","0","14","69","57","25","21","27","28","47","47","8","16","8","13","74","78","48","53","151","106","13","20","0","14","28","43","14","25",
"1500000US370010209012","Block Group 2; Census Tract 209.01; Alamance County; North Carolina","551","120","21","29","11","17","60","47","0","14","8","13","30","38","0","14","47","52","15","18","137","97","44","38","70","47","60","58","34","39","0","14","14","24",
"1500000US370010209013","Block Group 3; Census Tract 209.01; Alamance County; North Carolina","576","226","20","24","0","14","0","14","0","14","30","37","163","200","0","14","30","46","25","35","42","46","10","14","71","57","72","70","46","34","7","13","60","62",
"1500000US370010209021","Block Group 1; Census Tract 209.02; Alamance County; North Carolina","1115","167","84","79","82","72","0","14","15","24","45","51","0","14","0","14","9","15","8","13","82","65","204","90","190","101","82","50","78","61","119","83","117","53",
"1500000US370010209022","Block Group 2; Census Tract 209.02; Alamance County; North Carolina","643","139","0","14","0","14","17","27","18","20","11","16","21","24","32","41","8","13","21","25","55","68","105","58","154","76","70","58","66","44","11","17","54","48",
"1500000US370010210001","Block Group 1; Census Tract 210; Alamance County; North Carolina","667","220","139","129","43","44","51","54","22","26","54","52","28","44","13","22","8","12","56","73","129","95","44","45","57","39","23","29","0","14","0","14","0","14",
"1500000US370010210002","Block Group 2; Census Tract 210; Alamance County; North Carolina","763","166","91","71","29","34","83","63","91","60","48","76","35","49","89","70","66","45","9","15","81","81","48","37","52","42","7","14","27","29","0","14","7","11",
"1500000US370010210003","Block Group 3; Census Tract 210; Alamance County; North Carolina","565","183","67","83","62","57","97","87","109","97","0","14","64","72","43","33","0","14","0","14","47","54","0","14","76","82","0","14","0","14","0","14","0","14",
"1500000US370010211011","Block Group 1; Census Tract 211.01; Alamance County; North Carolina","324","138","0","14","0","14","0","14","23","34","0","14","46","42","11","19","12","20","60","95","34","43","45","43","86","72","7","11","0","14","0","14","0","14",
"1500000US370010211012","Block Group 2; Census Tract 211.01; Alamance County; North Carolina","1160","223","103","85","7","13","9","12","27","28","47","54","88","86","10","19","45","53","97","89","164","96","106","90","145","106","136","78","30","29","117","77","29","38",
"1500000US370010211013","Block Group 3; Census Tract 211.01; Alamance County; North Carolina","310","118","18","27","29","46","0","14","32","38","0","14","0","14","9","15","145","112","0","14","40","41","0","14","37","47","0","14","0","14","0","14","0","14",
"1500000US370010211021","Block Group 1; Census Tract 211.02; Alamance County; North Carolina","379","142","47","71","68","59","0","14","10","15","30","39","45","72","21","23","28","40","34","39","71","80","7","11","0","14","9","15","9","14","0","14","0","14",
"1500000US370010211022","Block Group 2; Census Tract 211.02; Alamance County; North Carolina","465","124","38","48","23","22","0","14","15","17","16","18","23","28","23","38","45","59","0","14","55","63","37","41","116","74","42","34","9","14","0","14","23","25",
"1500000US370010211023","Block Group 3; Census Tract 211.02; Alamance County; North Carolina","597","140","22","23","0","14","30","36","23","27","0","14","0","14","7","11","43","51","9","15","26","31","119","68","56","45","26","28","127","119","21","25","88","61",
"1500000US370010212011","Block Group 1; Census Tract 212.01; Alamance County; North Carolina","1044","179","46","44","34","38","59","41","121","75","52","44","64","41","41","40","47","44","29","30","84","51","136","67","127","57","66","40","87","90","40","42","11","17",
"1500000US370010212012","Block Group 2; Census Tract 212.01; Alamance County; North Carolina","823","147","127","90","20","26","39","52","71","45","19","19","71","80","16","15","26","30","37","35","36","30","78","46","84","53","117","61","63","54","13","16","6","9",
"1500000US370010212013","Block Group 3; Census Tract 212.01; Alamance County; North Carolina","296","98","22","20","20","24","14","22","25","25","4","6","22","22","0","14","10","11","0","14","73","75","40","41","0","14","53","44","10","15","3","5","0","14",
"1500000US370010212041","Block Group 1; Census Tract 212.04; Alamance County; North Carolina","406","112","0","14","0","14","9","14","27","32","0","14","16","26","0","14","19","22","41","40","16","25","0","14","49","38","97","61","95","72","19","23","18","21",
"1500000US370010212042","Block Group 2; Census Tract 212.04; Alamance County; North Carolina","1532","177","87","49","0","14","36","40","34","32","50","57","143","94","17","20","28","31","92","100","155","74","188","74","144","85","133","45","97","55","275","102","53","33",
"1500000US370010212051","Block Group 1; Census Tract 212.05; Alamance County; North Carolina","409","131","0","14","0","14","0","14","0","14","19","30","0","14","0","14","72","87","0","14","26","38","10","16","144","99","31","40","0","14","23","35","84","68",
"1500000US370010212052","Block Group 2; Census Tract 212.05; Alamance County; North Carolina","988","291","128","159","21","35","100","103","70","96","0","14","84","136","41","67","0","14","0","14","32","51","62","69","135","111","35","39","27","47","58","63","195","186",
"1500000US370010212053","Block Group 3; Census Tract 212.05; Alamance County; North Carolina","1935","344","38","41","66","71","83","79","33","57","100","119","36","48","76","97","224","150","129","114","69","69","32","36","467","308","252","135","187","104","115","121","28","37",
"1500000US370010212061","Block Group 1; Census Tract 212.06; Alamance County; North Carolina","477","167","42","39","0","14","0","14","0","14","30","52","0","14","32","31","15","27","8","13","46","45","119","125","77","72","27","21","28","42","28","31","25","32",
"1500000US370010212062","Block Group 2; Census Tract 212.06; Alamance County; North Carolina","1108","282","0","14","0","14","0","14","184","243","59","42","41","42","60","52","24","36","24","29","128","89","61","67","109","68","206","104","55","42","68","46","89","109",
"1500000US370010212063","Block Group 3; Census Tract 212.06; Alamance County; North Carolina","613","165","17","23","71","82","10","17","59","69","21","31","0","14","0","14","5","9","40","52","27","42","46","71","51","45","83","72","77","59","83","66","23","28",
"1500000US370010212071","Block Group 1; Census Tract 212.07; Alamance County; North Carolina","721","196","55","49","47","55","18","19","0","14","91","116","57","48","11","17","44","65","12","18","23","30","11","18","133","88","41","34","88","71","34","25","56","37",
"1500000US370010212072","Block Group 2; Census Tract 212.07; Alamance County; North Carolina","877","168","104","118","0","14","48","59","41","32","96","90","22","25","11","18","10","15","30","33","84","51","89","81","140","70","62","41","102","80","12","17","26","41",
"1500000US370010213001","Block Group 1; Census Tract 213; Alamance County; North Carolina","562","72","14","11","8","7","20","12","34","23","8","7","11","8","30","14","35","24","54","47","27","12","52","19","82","36","32","11","42","17","52","25","61","30",
"1500000US370010213002","Block Group 2; Census Tract 213; Alamance County; North Carolina","392","44","28","15","27","14","4","5","15","9","18","15","21","12","29","16","11","10","11","11","26","11","71","27","40","19","30","15","35","18","19","8","7","7",
"1500000US370010213003","Block Group 3; Census Tract 213; Alamance County; North Carolina","354","54","19","10","9","6","11","8","19","11","4","4","10","10","7","8","30","26","17","15","29","15","59","29","46","23","52","25","8","6","24","14","10","8",
"1500000US370010213004","Block Group 4; Census Tract 213; Alamance County; North Carolina","532","94","4","6","2","3","3","3","2","3","16","19","2","5","17","19","0","14","3","4","99","74","16","16","167","98","42","29","15","15","42","22","102","38",
"1500000US370010213005","Block Group 5; Census Tract 213; Alamance County; North Carolina","456","97","13","8","19","12","26","14","14","14","39","21","18","15","20","16","35","24","11","9","16","13","23","15","26","13","72","36","13","8","105","84","6","4",
"1500000US370010214001","Block Group 1; Census Tract 214; Alamance County; North Carolina","561","106","22","23","6","10","29","34","17","24","39","42","0","14","43","44","0","14","13","14","12","16","44","35","127","56","70","45","68","68","56","53","15","19",
"1500000US370010214002","Block Group 2; Census Tract 214; Alamance County; North Carolina","414","208","23","21","6","9","0","14","15","19","0","14","17","27","16","18","1","3","0","14","1","2","19","23","67","38","47","40","190","204","2","4","10","14",
"1500000US370010215001","Block Group 1; Census Tract 215; Alamance County; North Carolina","368","90","10","16","0","14","0","14","0","14","0","14","0","14","36","43","0","14","0","14","31","37","78","48","80","53","93","71","9","13","20","25","11","18",
"1500000US370010215002","Block Group 2; Census Tract 215; Alamance County; North Carolina","432","91","8","14","9","14","10","15","34","39","7","13","50","52","34","31","10","15","14","19","30","28","51","44","49","33","79","43","28","45","19","21","0","14",
