,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
689,MECKLENBURG,11/07/2023,voter,209,DEM,W,UN,F,Age 41 - 65,36,11/27/2023
691,MECKLENBURG,11/07/2023,voter,228,REP,O,HL,M,Age Over 66,2,11/27/2023
699,MECKLENBURG,11/07/2023,voter,205,REP,W,UN,M,Age Over 66,5,11/27/2023
709,MECKLENBURG,11/07/2023,voter,012,DEM,U,UN,M,Age 41 - 65,2,11/27/2023
711,MECKLENBURG,11/07/2023,voter,201,DEM,B,UN,M,Age Over 66,37,11/27/2023
714,MECKLENBURG,11/07/2023,voter,201,DEM,B,NL,M,Age 18 - 25,122,11/27/2023
722,MECKLENBURG,11/07/2023,voter,231,UNA,W,NL,M,Age 41 - 65,181,11/27/2023
731,MECKLENBURG,11/07/2023,voter,221,DEM,B,NL,M,Age 41 - 65,56,11/27/2023
736,MECKLENBURG,11/07/2023,voter,069,REP,U,UN,U,Age Over 66,2,11/27/2023
741,MECKLENBURG,11/07/2023,voter,243,REP,M,UN,M,Age 18 - 25,1,11/27/2023
743,MECKLENBURG,11/07/2023,voter,011,DEM,I,NL,F,Age Over 66,1,11/27/2023
754,MECKLENBURG,11/07/2023,voter,051,DEM,O,UN,F,Age 26 - 40,2,11/27/2023
766,MECKLENBURG,11/07/2023,voter,223.1,DEM,M,NL,F,Age 26 - 40,2,11/27/2023
775,MECKLENBURG,11/07/2023,voter,063,REP,B,UN,M,Age Over 66,1,11/27/2023
777,MECKLENBURG,11/07/2023,voter,229,REP,B,NL,M,Age 26 - 40,8,11/27/2023
778,MECKLENBURG,11/07/2023,voter,075,DEM,U,UN,F,Age 26 - 40,4,11/27/2023
789,MECKLENBURG,11/07/2023,voter,210,DEM,U,UN,M,Age Over 66,1,11/27/2023
796,MECKLENBURG,11/07/2023,voter,052,UNA,M,HL,F,Age 26 - 40,1,11/27/2023
799,MECKLENBURG,11/07/2023,voter,145,REP,O,NL,U,Age 26 - 40,1,11/27/2023
807,MECKLENBURG,11/07/2023,voter,096,UNA,W,UN,F,Age 18 - 25,2,11/27/2023
830,MECKLENBURG,11/07/2023,voter,006,UNA,B,NL,M,Age 41 - 65,32,11/27/2023
859,MECKLENBURG,11/07/2023,voter,140,DEM,W,UN,M,Age 18 - 25,7,11/27/2023
861,MECKLENBURG,11/07/2023,voter,142,REP,W,NL,M,Age 18 - 25,64,11/27/2023
865,MECKLENBURG,11/07/2023,voter,145,DEM,O,NL,U,Age 18 - 25,1,11/27/2023
871,MECKLENBURG,11/07/2023,voter,033,UNA,W,UN,F,Age 41 - 65,12,11/27/2023
873,MECKLENBURG,11/07/2023,voter,081,DEM,U,UN,F,Age 18 - 25,3,11/27/2023
874,MECKLENBURG,11/07/2023,voter,149,UNA,U,HL,F,Age 18 - 25,8,11/27/2023
875,MECKLENBURG,11/07/2023,voter,009,REP,U,UN,U,Age 18 - 25,3,11/27/2023
880,MECKLENBURG,11/07/2023,voter,104,DEM,O,HL,F,Age 18 - 25,15,11/27/2023
890,MECKLENBURG,11/07/2023,voter,009,UNA,W,UN,F,Age Over 66,5,11/27/2023
926,MECKLENBURG,11/07/2023,voter,117,DEM,W,NL,F,Age 18 - 25,12,11/27/2023
927,MECKLENBURG,11/07/2023,voter,022,DEM,B,NL,F,Age 41 - 65,216,11/27/2023
936,MECKLENBURG,11/07/2023,voter,229,REP,A,UN,M,Age Over 66,2,11/27/2023
937,MECKLENBURG,11/07/2023,voter,243,DEM,O,HL,M,Age Over 66,8,11/27/2023
970,MECKLENBURG,11/07/2023,voter,013,REP,M,UN,M,Age 26 - 40,1,11/27/2023
976,MECKLENBURG,11/07/2023,voter,035,UNA,U,HL,F,Age 26 - 40,2,11/27/2023
977,MECKLENBURG,11/07/2023,voter,227,REP,M,HL,F,Age 41 - 65,1,11/27/2023
997,MECKLENBURG,11/07/2023,voter,064,UNA,B,UN,F,Age 26 - 40,5,11/27/2023
1016,MECKLENBURG,11/07/2023,voter,057,UNA,B,NL,F,Age 26 - 40,4,11/27/2023
1043,MECKLENBURG,11/07/2023,voter,230,UNA,I,UN,F,Age Over 66,1,11/27/2023
1084,MECKLENBURG,11/07/2023,voter,144,REP,W,HL,F,Age 18 - 25,1,11/27/2023
1086,MECKLENBURG,11/07/2023,voter,024,UNA,B,UN,U,Age 18 - 25,4,11/27/2023
1099,MECKLENBURG,11/07/2023,voter,038,UNA,W,HL,M,Age 26 - 40,3,11/27/2023
1104,MECKLENBURG,11/07/2023,voter,060,DEM,W,NL,M,Age 18 - 25,1,11/27/2023
1120,MECKLENBURG,11/07/2023,voter,216,REP,B,NL,U,Age 41 - 65,1,11/27/2023
1148,MECKLENBURG,11/07/2023,voter,211,DEM,U,UN,F,Age 41 - 65,14,11/27/2023
1156,MECKLENBURG,11/07/2023,voter,134,UNA,O,UN,F,Age 18 - 25,4,11/27/2023
1170,MECKLENBURG,11/07/2023,voter,223.1,DEM,W,UN,F,Age Over 66,11,11/27/2023
1173,MECKLENBURG,11/07/2023,voter,148,DEM,O,HL,M,Age 26 - 40,7,11/27/2023
1176,MECKLENBURG,11/07/2023,voter,239,UNA,A,NL,F,Age 41 - 65,7,11/27/2023
1177,MECKLENBURG,11/07/2023,voter,095,DEM,B,NL,M,Age 26 - 40,78,11/27/2023
1183,MECKLENBURG,11/07/2023,voter,226,REP,O,HL,U,Age 26 - 40,1,11/27/2023
1189,MECKLENBURG,11/07/2023,voter,098,UNA,U,UN,M,Age Over 66,1,11/27/2023
1191,MECKLENBURG,11/07/2023,voter,120,DEM,B,HL,F,Age 18 - 25,2,11/27/2023
1196,MECKLENBURG,11/07/2023,voter,057,UNA,I,NL,M,Age 26 - 40,1,11/27/2023
1199,MECKLENBURG,11/07/2023,voter,090,UNA,B,UN,M,Age 41 - 65,1,11/27/2023
1202,MECKLENBURG,11/07/2023,voter,133,UNA,B,NL,F,Age 26 - 40,8,11/27/2023
1219,MECKLENBURG,11/07/2023,voter,132,DEM,W,HL,F,Age 41 - 65,3,11/27/2023
1250,MECKLENBURG,11/07/2023,voter,071,UNA,W,HL,F,Age 18 - 25,1,11/27/2023
1251,MECKLENBURG,11/07/2023,voter,119,UNA,O,UN,M,Age 26 - 40,2,11/27/2023
1262,MECKLENBURG,11/07/2023,voter,223.1,REP,W,HL,F,Age 26 - 40,3,11/27/2023
1277,MECKLENBURG,11/07/2023,voter,225,DEM,A,NL,F,Age 26 - 40,5,11/27/2023
1287,MECKLENBURG,11/07/2023,voter,049,DEM,O,NL,F,Age 26 - 40,1,11/27/2023
1304,MECKLENBURG,11/07/2023,voter,220,DEM,B,UN,M,Age 26 - 40,6,11/27/2023
1305,MECKLENBURG,11/07/2023,voter,149,UNA,B,HL,F,Age Over 66,1,11/27/2023
1323,MECKLENBURG,11/07/2023,voter,091,DEM,A,UN,M,Age 26 - 40,1,11/27/2023
1327,MECKLENBURG,11/07/2023,voter,201,REP,A,NL,M,Age 41 - 65,5,11/27/2023
1328,MECKLENBURG,11/07/2023,voter,067,DEM,B,NL,F,Age 26 - 40,1,11/27/2023
1336,MECKLENBURG,11/07/2023,voter,220,LIB,W,NL,F,Age Over 66,2,11/27/2023
1338,MECKLENBURG,11/07/2023,voter,079,LIB,B,NL,F,Age 26 - 40,2,11/27/2023
1339,MECKLENBURG,11/07/2023,voter,120,UNA,M,UN,M,Age 26 - 40,3,11/27/2023
1340,MECKLENBURG,11/07/2023,voter,141,UNA,O,NL,M,Age 26 - 40,5,11/27/2023
1342,MECKLENBURG,11/07/2023,voter,007,UNA,U,HL,F,Age 18 - 25,1,11/27/2023
1343,MECKLENBURG,11/07/2023,voter,205,DEM,O,HL,M,Age Over 66,1,11/27/2023
1371,MECKLENBURG,11/07/2023,voter,204.1,UNA,B,NL,F,Age 26 - 40,93,11/27/2023
1382,MECKLENBURG,11/07/2023,voter,076,UNA,B,UN,F,Age 41 - 65,2,11/27/2023
1399,MECKLENBURG,11/07/2023,voter,080,REP,B,UN,M,Age Over 66,1,11/27/2023
1416,MECKLENBURG,11/07/2023,voter,102,UNA,W,NL,U,Age 26 - 40,4,11/27/2023
1431,MECKLENBURG,11/07/2023,voter,105,DEM,A,NL,M,Age 26 - 40,6,11/27/2023
1444,MECKLENBURG,11/07/2023,voter,058,DEM,B,UN,U,Age 41 - 65,1,11/27/2023
1445,MECKLENBURG,11/07/2023,voter,210,DEM,M,NL,M,Age 41 - 65,1,11/27/2023
1469,MECKLENBURG,11/07/2023,voter,070,REP,W,UN,M,Age 41 - 65,12,11/27/2023
1498,MECKLENBURG,11/07/2023,voter,225,LIB,U,UN,U,Age 41 - 65,1,11/27/2023
1509,MECKLENBURG,11/07/2023,voter,046,UNA,O,NL,M,Age 41 - 65,7,11/27/2023
1512,MECKLENBURG,11/07/2023,voter,214,DEM,U,UN,U,Age Over 66,2,11/27/2023
1519,MECKLENBURG,11/07/2023,voter,071,REP,O,HL,M,Age 26 - 40,2,11/27/2023
1524,MECKLENBURG,11/07/2023,voter,213,DEM,W,HL,U,Age 26 - 40,1,11/27/2023
1532,MECKLENBURG,11/07/2023,voter,243,DEM,B,UN,M,Age Over 66,21,11/27/2023
1539,MECKLENBURG,11/07/2023,voter,232,DEM,W,UN,F,Age Over 66,22,11/27/2023
1562,MECKLENBURG,11/07/2023,voter,088,REP,W,NL,U,Age 26 - 40,1,11/27/2023
1574,MECKLENBURG,11/07/2023,voter,095,UNA,M,NL,M,Age 26 - 40,1,11/27/2023
1587,MECKLENBURG,11/07/2023,voter,124,DEM,B,NL,U,Age 41 - 65,3,11/27/2023
1612,MECKLENBURG,11/07/2023,voter,242,DEM,U,NL,F,Age 26 - 40,1,11/27/2023
1613,MECKLENBURG,11/07/2023,voter,205,DEM,U,HL,F,Age 18 - 25,5,11/27/2023
1618,MECKLENBURG,11/07/2023,voter,097,UNA,W,HL,F,Age 41 - 65,1,11/27/2023
1623,MECKLENBURG,11/07/2023,voter,237,DEM,M,NL,M,Age 41 - 65,1,11/27/2023
1630,MECKLENBURG,11/07/2023,voter,240,UNA,W,HL,F,Age 26 - 40,6,11/27/2023
1636,MECKLENBURG,11/07/2023,voter,087,UNA,W,UN,F,Age 41 - 65,16,11/27/2023
1641,MECKLENBURG,11/07/2023,voter,131,DEM,A,UN,M,Age 41 - 65,1,11/27/2023
1662,MECKLENBURG,11/07/2023,voter,227,DEM,U,NL,U,Age 26 - 40,1,11/27/2023
1670,MECKLENBURG,11/07/2023,voter,201,REP,O,HL,M,Age 18 - 25,11,11/27/2023
1675,MECKLENBURG,11/07/2023,voter,126,UNA,W,UN,M,Age 41 - 65,7,11/27/2023
1682,MECKLENBURG,11/07/2023,voter,029,DEM,O,NL,M,Age 41 - 65,3,11/27/2023
1685,MECKLENBURG,11/07/2023,voter,146,UNA,W,UN,U,Age 41 - 65,1,11/27/2023
1687,MECKLENBURG,11/07/2023,voter,105,LIB,B,UN,M,Age 26 - 40,1,11/27/2023
1689,MECKLENBURG,11/07/2023,voter,036,REP,A,NL,F,Age 18 - 25,1,11/27/2023
1693,MECKLENBURG,11/07/2023,voter,200,UNA,B,NL,U,Age 26 - 40,2,11/27/2023
1694,MECKLENBURG,11/07/2023,voter,140,UNA,U,NL,M,Age 41 - 65,3,11/27/2023
1698,MECKLENBURG,11/07/2023,voter,086,DEM,O,NL,M,Age 18 - 25,1,11/27/2023
1702,MECKLENBURG,11/07/2023,voter,146,DEM,B,HL,M,Age 18 - 25,1,11/27/2023
1704,MECKLENBURG,11/07/2023,voter,002,REP,U,UN,M,Age 41 - 65,2,11/27/2023
1711,MECKLENBURG,11/07/2023,voter,080,DEM,A,NL,F,Age 18 - 25,2,11/27/2023
1729,MECKLENBURG,11/07/2023,voter,071,REP,U,UN,U,Age 26 - 40,10,11/27/2023
1745,MECKLENBURG,11/07/2023,voter,093,REP,U,HL,M,Age 26 - 40,1,11/27/2023
1755,MECKLENBURG,11/07/2023,voter,221,UNA,O,NL,F,Age 41 - 65,5,11/27/2023
1763,MECKLENBURG,11/07/2023,voter,215,UNA,W,HL,M,Age 41 - 65,3,11/27/2023
1774,MECKLENBURG,11/07/2023,voter,002,DEM,B,UN,M,Age Over 66,1,11/27/2023
1805,MECKLENBURG,11/07/2023,voter,232,DEM,A,UN,M,Age Over 66,3,11/27/2023
1818,MECKLENBURG,11/07/2023,voter,087,LIB,W,NL,F,Age 26 - 40,4,11/27/2023
1824,MECKLENBURG,11/07/2023,voter,241,DEM,O,NL,F,Age Over 66,7,11/27/2023
1856,MECKLENBURG,11/07/2023,voter,105,LIB,O,HL,F,Age 26 - 40,1,11/27/2023
1857,MECKLENBURG,11/07/2023,voter,151,LIB,B,NL,M,Age 41 - 65,2,11/27/2023
1862,MECKLENBURG,11/07/2023,voter,214,UNA,M,HL,F,Age 18 - 25,1,11/27/2023
1865,MECKLENBURG,11/07/2023,voter,202,UNA,B,UN,M,Age 41 - 65,18,11/27/2023
1876,MECKLENBURG,11/07/2023,voter,128,DEM,W,HL,F,Age 26 - 40,3,11/27/2023
1881,MECKLENBURG,11/07/2023,voter,008,DEM,U,UN,F,Age Over 66,1,11/27/2023
1885,MECKLENBURG,11/07/2023,voter,081,REP,B,NL,M,Age 41 - 65,11,11/27/2023
1893,MECKLENBURG,11/07/2023,voter,237,UNA,B,HL,F,Age Over 66,1,11/27/2023
1895,MECKLENBURG,11/07/2023,voter,096,DEM,O,NL,M,Age 26 - 40,3,11/27/2023
1897,MECKLENBURG,11/07/2023,voter,235,DEM,M,NL,F,Age 18 - 25,1,11/27/2023
1922,MECKLENBURG,11/07/2023,voter,209,UNA,A,NL,M,Age 26 - 40,5,11/27/2023
1934,MECKLENBURG,11/07/2023,voter,138,UNA,O,HL,M,Age 41 - 65,10,11/27/2023
1961,MECKLENBURG,11/07/2023,voter,214,DEM,B,NL,M,Age 26 - 40,82,11/27/2023
1962,MECKLENBURG,11/07/2023,voter,061,LIB,W,UN,M,Age 26 - 40,1,11/27/2023
1963,MECKLENBURG,11/07/2023,voter,210,REP,B,NL,F,Age Over 66,8,11/27/2023
1966,MECKLENBURG,11/07/2023,voter,085,DEM,W,NL,F,Age 18 - 25,6,11/27/2023
1979,MECKLENBURG,11/07/2023,voter,125,REP,A,NL,F,Age Over 66,1,11/27/2023
1981,MECKLENBURG,11/07/2023,voter,063,UNA,M,HL,M,Age 18 - 25,2,11/27/2023
1983,MECKLENBURG,11/07/2023,voter,081,DEM,I,NL,F,Age 18 - 25,1,11/27/2023
2029,MECKLENBURG,11/07/2023,voter,096,UNA,U,HL,M,Age 41 - 65,2,11/27/2023
2036,MECKLENBURG,11/07/2023,voter,023,UNA,W,UN,M,Age Over 66,1,11/27/2023
2043,MECKLENBURG,11/07/2023,voter,049,UNA,A,UN,M,Age 26 - 40,1,11/27/2023
2064,MECKLENBURG,11/07/2023,voter,200,DEM,W,NL,M,Age 18 - 25,2,11/27/2023
2072,MECKLENBURG,11/07/2023,voter,242,REP,W,UN,M,Age 18 - 25,31,11/27/2023
2091,MECKLENBURG,11/07/2023,voter,223.1,UNA,A,NL,M,Age Over 66,2,11/27/2023
2137,MECKLENBURG,11/07/2023,voter,080,UNA,B,UN,U,Age 26 - 40,1,11/27/2023
2139,MECKLENBURG,11/07/2023,voter,067,UNA,W,UN,F,Age 18 - 25,7,11/27/2023
2140,MECKLENBURG,11/07/2023,voter,209,DEM,U,HL,M,Age 41 - 65,2,11/27/2023
2147,MECKLENBURG,11/07/2023,voter,045,REP,O,HL,F,Age 18 - 25,1,11/27/2023
2151,MECKLENBURG,11/07/2023,voter,044,DEM,A,NL,F,Age 26 - 40,4,11/27/2023
2153,MECKLENBURG,11/07/2023,voter,074,UNA,O,NL,F,Age 41 - 65,4,11/27/2023
2164,MECKLENBURG,11/07/2023,voter,045,DEM,O,HL,F,Age 26 - 40,19,11/27/2023
2173,MECKLENBURG,11/07/2023,voter,202,REP,B,NL,M,Age Over 66,2,11/27/2023
2175,MECKLENBURG,11/07/2023,voter,111,UNA,W,UN,F,Age 18 - 25,13,11/27/2023
2177,MECKLENBURG,11/07/2023,voter,032,UNA,U,UN,U,Age Over 66,2,11/27/2023
2187,MECKLENBURG,11/07/2023,voter,206,DEM,B,UN,F,Age 18 - 25,6,11/27/2023
2216,MECKLENBURG,11/07/2023,voter,145,DEM,B,HL,F,Age 18 - 25,5,11/27/2023
2237,MECKLENBURG,11/07/2023,voter,049,DEM,B,NL,U,Age 26 - 40,2,11/27/2023
2243,MECKLENBURG,11/07/2023,voter,222,DEM,I,NL,F,Age Over 66,1,11/27/2023
2267,MECKLENBURG,11/07/2023,voter,204.1,UNA,O,UN,M,Age 41 - 65,6,11/27/2023
2278,MECKLENBURG,11/07/2023,voter,135,REP,U,UN,U,Age 18 - 25,3,11/27/2023
2306,MECKLENBURG,11/07/2023,voter,011,REP,A,UN,F,Age 18 - 25,1,11/27/2023
2314,MECKLENBURG,11/07/2023,voter,115,UNA,O,NL,M,Age 18 - 25,2,11/27/2023
2359,MECKLENBURG,11/07/2023,voter,014,DEM,B,NL,F,Age 41 - 65,163,11/27/2023
2382,MECKLENBURG,11/07/2023,voter,202,DEM,A,UN,M,Age Over 66,1,11/27/2023
2385,MECKLENBURG,11/07/2023,voter,200,REP,U,UN,M,Age Over 66,2,11/27/2023
2389,MECKLENBURG,11/07/2023,voter,066,DEM,U,UN,F,Age 26 - 40,1,11/27/2023
2395,MECKLENBURG,11/07/2023,voter,069,LIB,W,UN,F,Age 18 - 25,1,11/27/2023
2396,MECKLENBURG,11/07/2023,voter,222,UNA,B,UN,F,Age 18 - 25,33,11/27/2023
2425,MECKLENBURG,11/07/2023,voter,238.1,DEM,B,NL,U,Age 41 - 65,4,11/27/2023
2453,MECKLENBURG,11/07/2023,voter,146,UNA,A,UN,F,Age 41 - 65,4,11/27/2023
2474,MECKLENBURG,11/07/2023,voter,143,UNA,W,NL,U,Age 26 - 40,7,11/27/2023
2522,MECKLENBURG,11/07/2023,voter,141,REP,W,HL,F,Age 18 - 25,2,11/27/2023
2534,MECKLENBURG,11/07/2023,voter,139.1,REP,A,UN,U,Age Over 66,1,11/27/2023
2535,MECKLENBURG,11/07/2023,voter,209,REP,O,HL,F,Age Over 66,4,11/27/2023
2538,MECKLENBURG,11/07/2023,voter,112,REP,W,UN,F,Age 41 - 65,14,11/27/2023
2546,MECKLENBURG,11/07/2023,voter,079,UNA,M,UN,M,Age 26 - 40,1,11/27/2023
2558,MECKLENBURG,11/07/2023,voter,078.1,DEM,O,UN,F,Age 26 - 40,5,11/27/2023
2564,MECKLENBURG,11/07/2023,voter,089,UNA,W,UN,M,Age 18 - 25,15,11/27/2023
2566,MECKLENBURG,11/07/2023,voter,053,UNA,W,NL,M,Age 26 - 40,28,11/27/2023
2568,MECKLENBURG,11/07/2023,voter,010,REP,U,UN,U,Age 18 - 25,2,11/27/2023
2607,MECKLENBURG,11/07/2023,voter,064,UNA,A,UN,M,Age 18 - 25,3,11/27/2023
2631,MECKLENBURG,11/07/2023,voter,078.1,UNA,U,UN,F,Age Over 66,5,11/27/2023
2640,MECKLENBURG,11/07/2023,voter,121,DEM,U,UN,F,Age 26 - 40,2,11/27/2023
2641,MECKLENBURG,11/07/2023,voter,093,UNA,A,NL,M,Age 41 - 65,1,11/27/2023
2647,MECKLENBURG,11/07/2023,voter,063,LIB,W,UN,F,Age 41 - 65,1,11/27/2023
2654,MECKLENBURG,11/07/2023,voter,124,DEM,O,HL,M,Age Over 66,3,11/27/2023
2660,MECKLENBURG,11/07/2023,voter,104,UNA,W,HL,F,Age Over 66,1,11/27/2023
2686,MECKLENBURG,11/07/2023,voter,105,REP,W,HL,F,Age 26 - 40,1,11/27/2023
2707,MECKLENBURG,11/07/2023,voter,207,REP,W,UN,M,Age 18 - 25,31,11/27/2023
2718,MECKLENBURG,11/07/2023,voter,035,UNA,A,NL,F,Age 26 - 40,9,11/27/2023
2720,MECKLENBURG,11/07/2023,voter,213,REP,O,UN,M,Age 18 - 25,1,11/27/2023
2721,MECKLENBURG,11/07/2023,voter,213,DEM,O,HL,U,Age 26 - 40,1,11/27/2023
2731,MECKLENBURG,11/07/2023,voter,135,DEM,M,NL,M,Age 26 - 40,1,11/27/2023
2748,MECKLENBURG,11/07/2023,voter,149,DEM,M,NL,F,Age 18 - 25,1,11/27/2023
2774,MECKLENBURG,11/07/2023,voter,075,REP,W,HL,F,Age 41 - 65,3,11/27/2023
2777,MECKLENBURG,11/07/2023,voter,037,DEM,A,UN,F,Age 41 - 65,1,11/27/2023
2784,MECKLENBURG,11/07/2023,voter,048,DEM,O,HL,F,Age 41 - 65,1,11/27/2023
2813,MECKLENBURG,11/07/2023,voter,059,REP,A,NL,M,Age 41 - 65,1,11/27/2023
2840,MECKLENBURG,11/07/2023,voter,226,UNA,W,UN,F,Age Over 66,13,11/27/2023
2847,MECKLENBURG,11/07/2023,voter,120,UNA,B,HL,F,Age 26 - 40,1,11/27/2023
2854,MECKLENBURG,11/07/2023,voter,239,UNA,M,UN,M,Age 18 - 25,1,11/27/2023
2858,MECKLENBURG,11/07/2023,voter,109,UNA,O,HL,M,Age 26 - 40,5,11/27/2023
2864,MECKLENBURG,11/07/2023,voter,030,UNA,O,HL,F,Age 26 - 40,9,11/27/2023
2870,MECKLENBURG,11/07/2023,voter,145,UNA,A,NL,U,Age 26 - 40,1,11/27/2023
