,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
11,MECKLENBURG,07/26/2022,voter,228,UNA,A,NL,M,Age 41 - 65,13,07/27/2022
33,MECKLENBURG,07/26/2022,voter,105,DEM,A,NL,F,Age 18 - 25,15,07/27/2022
40,MECKLENBURG,07/26/2022,voter,053,DEM,I,UN,M,Age 41 - 65,1,07/27/2022
42,MECKLENBURG,07/26/2022,voter,232,UNA,A,NL,F,Age 18 - 25,10,07/27/2022
61,MECKLENBURG,07/26/2022,voter,028,DEM,W,UN,F,Age 18 - 25,1,07/27/2022
70,MECKLENBURG,07/26/2022,voter,009,DEM,U,HL,F,Age 18 - 25,2,07/27/2022
72,MECKLENBURG,07/26/2022,voter,006,DEM,U,UN,F,Age Over 66,2,07/27/2022
75,MECKLENBURG,07/26/2022,voter,026,DEM,O,HL,M,Age Over 66,2,07/27/2022
76,MECKLENBURG,07/26/2022,voter,044,DEM,O,HL,F,Age 26 - 40,2,07/27/2022
92,MECKLENBURG,07/26/2022,voter,092,UNA,W,UN,M,Invalid Birth Dates,1,07/27/2022
98,MECKLENBURG,07/26/2022,voter,219,REP,B,NL,M,Age Over 66,2,07/27/2022
110,MECKLENBURG,07/26/2022,voter,062,DEM,M,HL,M,Age 26 - 40,3,07/27/2022
132,MECKLENBURG,07/26/2022,voter,146,UNA,W,NL,M,Age 18 - 25,24,07/27/2022
134,MECKLENBURG,07/26/2022,voter,032,DEM,B,NL,M,Age 41 - 65,1,07/27/2022
159,MECKLENBURG,07/26/2022,voter,136,DEM,W,NL,F,Invalid Birth Dates,1,07/27/2022
162,MECKLENBURG,07/26/2022,voter,043,REP,B,NL,M,Age 26 - 40,7,07/27/2022
169,MECKLENBURG,07/26/2022,voter,210,REP,U,HL,M,Age 41 - 65,4,07/27/2022
186,MECKLENBURG,07/26/2022,voter,133,UNA,U,NL,M,Age Over 66,1,07/27/2022
