,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,total_vap,hs_grad,scol_nd,bach_deg
557,557,614,095,095,MECKLENBURG,,60,2693.0,904.0,740.0,373.0
569,569,565,080,080,MECKLENBURG,,60,4733.0,1460.0,1334.0,1025.0
573,573,569,081,081,MECKLENBURG,,60,5868.0,2239.0,1167.0,600.0
577,577,572,082,082,MECKLENBURG,,60,4238.0,1200.0,1304.0,573.0
579,579,615,096,096,MECKLENBURG,,60,1753.0,326.0,706.0,355.0
580,580,574,083,083,MECKLENBURG,,60,4107.0,1485.0,846.0,523.0
581,581,575,084,084,MECKLENBURG,,60,2720.0,751.0,557.0,604.0
582,582,576,085,085,MECKLENBURG,,60,2643.0,177.0,571.0,1043.0
583,583,618,099,099,MECKLENBURG,,60,3108.0,1052.0,733.0,615.0
588,588,577,086,086,MECKLENBURG,,60,1313.0,69.0,127.0,672.0
589,589,578,087,087,MECKLENBURG,,60,2600.0,497.0,917.0,491.0
590,590,579,088,088,MECKLENBURG,,60,2896.0,543.0,629.0,975.0
591,591,580,089,089,MECKLENBURG,,60,6908.0,1507.0,1773.0,1242.0
615,615,605,090,090,MECKLENBURG,,60,1400.0,136.0,265.0,553.0
618,618,609,091,091,MECKLENBURG,,60,4510.0,457.0,471.0,1829.0
620,620,611,092,092,MECKLENBURG,,60,2830.0,366.0,440.0,1188.0
622,622,612,093,093,MECKLENBURG,,60,1992.0,298.0,240.0,715.0
624,624,613,094,094,MECKLENBURG,,60,3411.0,566.0,1028.0,596.0
625,625,616,097,097,MECKLENBURG,,60,1602.0,336.0,488.0,483.0
626,626,617,098,098,MECKLENBURG,,60,2988.0,759.0,711.0,797.0
634,634,672,109,109,MECKLENBURG,,60,3516.0,152.0,359.0,1774.0
648,648,649,100,100,MECKLENBURG,,60,2853.0,241.0,458.0,1398.0
652,652,653,101,101,MECKLENBURG,,60,3138.0,184.0,714.0,1180.0
655,655,656,102,102,MECKLENBURG,,60,4411.0,1091.0,897.0,1076.0
657,657,658,103,103,MECKLENBURG,,60,4024.0,431.0,528.0,1676.0
659,659,660,104,104,MECKLENBURG,,60,4115.0,1450.0,873.0,706.0
665,665,664,105,105,MECKLENBURG,,60,4772.0,1265.0,1574.0,1103.0
666,666,665,106,106,MECKLENBURG,,60,2107.0,247.0,156.0,1009.0
669,669,668,107.1,107.1,MECKLENBURG,,60,4828.0,842.0,1059.0,1405.0
671,671,670,108,108,MECKLENBURG,,60,2855.0,803.0,647.0,351.0
693,693,699,110,110,MECKLENBURG,,60,886.0,85.0,84.0,454.0
699,699,706,111,111,MECKLENBURG,,60,2932.0,146.0,378.0,1174.0
701,701,708,112,112,MECKLENBURG,,60,2182.0,227.0,327.0,814.0
702,702,710,113,113,MECKLENBURG,,60,3319.0,172.0,574.0,1477.0
705,705,713,114,114,MECKLENBURG,,60,2959.0,224.0,705.0,1313.0
706,706,719,118,118,MECKLENBURG,,60,2788.0,358.0,298.0,1133.0
709,709,714,115,115,MECKLENBURG,,60,2053.0,709.0,537.0,424.0
713,713,716,116,116,MECKLENBURG,,60,1885.0,631.0,490.0,274.0
714,714,717,117,117,MECKLENBURG,,60,2396.0,373.0,577.0,816.0
716,716,722,119,119,MECKLENBURG,,60,1931.0,363.0,187.0,744.0
748,748,760,120,120,MECKLENBURG,,60,3144.0,758.0,835.0,752.0
755,755,785,126,126,MECKLENBURG,,60,4093.0,469.0,929.0,1279.0
757,757,768,121,121,MECKLENBURG,,60,4188.0,579.0,499.0,1778.0
759,759,773,122,122,MECKLENBURG,,60,6663.0,1422.0,1764.0,1915.0
760,760,774,123,123,MECKLENBURG,,60,3172.0,705.0,845.0,909.0
765,765,778,124,124,MECKLENBURG,,60,2607.0,717.0,875.0,480.0
767,767,780,125,125,MECKLENBURG,,60,1538.0,363.0,437.0,329.0
770,770,787,127,127,MECKLENBURG,,60,5317.0,377.0,504.0,2321.0
772,772,789,128,128,MECKLENBURG,,60,3324.0,654.0,771.0,917.0
773,773,792,129,129,MECKLENBURG,,60,1930.0,354.0,609.0,691.0
799,799,827,130,130,MECKLENBURG,,60,2690.0,864.0,548.0,533.0
828,828,831,131,131,MECKLENBURG,,60,1674.0,209.0,192.0,696.0
829,829,832,132,132,MECKLENBURG,,60,2242.0,318.0,545.0,547.0
830,830,834,133,133,MECKLENBURG,,60,5507.0,660.0,1426.0,1995.0
831,831,836,134,134,MECKLENBURG,,60,6620.0,1029.0,1534.0,2204.0
832,832,1059,200,200,MECKLENBURG,,60,3258.0,777.0,408.0,820.0
834,834,837,135,135,MECKLENBURG,,60,7124.0,1234.0,1529.0,2100.0
835,835,838,136,136,MECKLENBURG,,60,2355.0,280.0,461.0,943.0
836,836,839,137,137,MECKLENBURG,,60,6145.0,684.0,799.0,2203.0
837,837,841,139.1,139.1,MECKLENBURG,,60,3163.0,386.0,614.0,1283.0
840,840,840,138,138,MECKLENBURG,,60,6011.0,2400.0,1364.0,1154.0
845,845,871,144,144,MECKLENBURG,,60,3568.0,250.0,515.0,1751.0
850,850,874,147,147,MECKLENBURG,,60,4512.0,818.0,1035.0,1054.0
865,865,863,140,140,MECKLENBURG,,60,5864.0,544.0,1149.0,2234.0
870,870,868,141,141,MECKLENBURG,,60,8106.0,1209.0,4925.0,746.0
871,871,869,142,142,MECKLENBURG,,60,8021.0,990.0,1685.0,3039.0
872,872,870,143,143,MECKLENBURG,,60,6299.0,674.0,980.0,2441.0
873,873,872,145,145,MECKLENBURG,,60,10036.0,1341.0,1945.0,3425.0
874,874,873,146,146,MECKLENBURG,,60,6514.0,1073.0,2072.0,1365.0
876,876,875,148,148,MECKLENBURG,,60,10177.0,1034.0,1557.0,3545.0
878,878,876,149,149,MECKLENBURG,,60,6520.0,877.0,1812.0,1834.0
900,900,900,150,150,MECKLENBURG,,60,2823.0,802.0,644.0,680.0
913,913,913,151,151,MECKLENBURG,,60,5661.0,717.0,1798.0,1699.0
999,999,1066,204.1,204.1,MECKLENBURG,,60,6746.0,599.0,2080.0,1980.0
1002,1002,1070,206,206,MECKLENBURG,,60,5837.0,866.0,1838.0,1472.0
1058,1058,1060,201,201,MECKLENBURG,,60,8466.0,1962.0,2122.0,1979.0
1060,1060,1062,202,202,MECKLENBURG,,60,11904.0,2201.0,2106.0,3929.0
1061,1061,1092,218,218,MECKLENBURG,,60,2540.0,681.0,611.0,635.0
1062,1062,1063,203,203,MECKLENBURG,,60,8355.0,2036.0,1528.0,2380.0
1063,1063,1068,205,205,MECKLENBURG,,60,4507.0,665.0,1244.0,1317.0
1064,1064,1072,207,207,MECKLENBURG,,60,3326.0,577.0,723.0,1191.0
1066,1066,1073,208,208,MECKLENBURG,,60,4217.0,613.0,720.0,1447.0
1067,1067,1074,209,209,MECKLENBURG,,60,6000.0,876.0,1242.0,1977.0
1072,1072,1084,210,210,MECKLENBURG,,60,8704.0,1910.0,2446.0,1683.0
1073,1073,1085,211,211,MECKLENBURG,,60,13680.0,2120.0,2682.0,5000.0
1074,1074,1086,212,212,MECKLENBURG,,60,15402.0,2159.0,3571.0,4355.0
1075,1075,1087,213,213,MECKLENBURG,,60,5660.0,1189.0,1631.0,1357.0
1076,1076,1088,214,214,MECKLENBURG,,60,3636.0,459.0,727.0,1221.0
1077,1077,1089,215,215,MECKLENBURG,,60,3717.0,771.0,699.0,1245.0
