,Unnamed: 0,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
39,897,MECKLENBURG,7/26/22,132,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,123,83,0,0,206,Y
40,915,MECKLENBURG,7/26/22,135,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,51,15,0,0,66,Y
41,916,MECKLENBURG,7/26/22,135,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,282,226,0,0,508,Y
42,935,MECKLENBURG,7/26/22,137,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,339,136,0,0,475,Y
43,936,MECKLENBURG,7/26/22,137,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,189,116,0,0,305,Y
44,958,MECKLENBURG,7/26/22,138,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,24,14,0,0,38,Y
45,959,MECKLENBURG,7/26/22,138,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,125,84,0,0,209,Y
46,1641,MECKLENBURG,7/26/22,001,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,127,28,0,0,155,Y
47,1642,MECKLENBURG,7/26/22,001,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,147,117,0,0,264,Y
48,1661,MECKLENBURG,7/26/22,002,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,78,18,0,0,96,Y
49,1662,MECKLENBURG,7/26/22,002,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,274,126,0,0,400,Y
50,1681,MECKLENBURG,7/26/22,003,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,13,7,0,0,20,Y
51,1682,MECKLENBURG,7/26/22,003,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,105,70,0,0,175,Y
52,1701,MECKLENBURG,7/26/22,004,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,59,14,0,0,73,Y
53,1702,MECKLENBURG,7/26/22,004,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,121,65,0,0,186,Y
54,1720,MECKLENBURG,7/26/22,005,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,37,7,0,0,44,Y
55,1721,MECKLENBURG,7/26/22,005,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,91,36,0,0,127,Y
56,1739,MECKLENBURG,7/26/22,006,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,35,10,0,0,45,Y
57,1740,MECKLENBURG,7/26/22,006,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,88,64,0,0,152,Y
58,1758,MECKLENBURG,7/26/22,007,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,44,25,0,0,69,Y
59,1759,MECKLENBURG,7/26/22,007,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,130,76,0,0,206,Y
60,1777,MECKLENBURG,7/26/22,008,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,161,116,0,0,277,Y
61,1778,MECKLENBURG,7/26/22,008,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,218,142,0,0,360,Y
62,1797,MECKLENBURG,7/26/22,009,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,106,47,0,0,153,Y
63,1798,MECKLENBURG,7/26/22,009,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,314,153,0,0,467,Y
64,1817,MECKLENBURG,7/26/22,010,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,107,36,0,0,143,Y
65,1818,MECKLENBURG,7/26/22,010,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,274,113,0,0,387,Y
66,1837,MECKLENBURG,7/26/22,011,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,99,77,0,0,176,Y
67,1838,MECKLENBURG,7/26/22,011,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,379,326,0,0,705,Y
68,1857,MECKLENBURG,7/26/22,012,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,19,6,0,0,25,Y
69,1858,MECKLENBURG,7/26/22,012,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,158,113,0,0,271,Y
70,1877,MECKLENBURG,7/26/22,013,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,35,23,0,0,58,Y
71,1878,MECKLENBURG,7/26/22,013,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,174,113,0,0,287,Y
72,1897,MECKLENBURG,7/26/22,014,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,38,8,0,0,46,Y
73,1898,MECKLENBURG,7/26/22,014,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,258,126,0,0,384,Y
74,1917,MECKLENBURG,7/26/22,015,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,89,18,0,0,107,Y
75,1918,MECKLENBURG,7/26/22,015,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,409,179,0,0,588,Y
76,1937,MECKLENBURG,7/26/22,016,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,6,7,0,0,13,Y
77,1938,MECKLENBURG,7/26/22,016,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,217,268,0,0,485,Y
78,2825,MECKLENBURG,7/26/22,017,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,14,5,0,0,19,Y
79,2826,MECKLENBURG,7/26/22,017,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,108,45,0,0,153,Y
80,2845,MECKLENBURG,7/26/22,018,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,169,63,0,0,232,Y
81,2846,MECKLENBURG,7/26/22,018,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,208,93,0,0,301,Y
82,2865,MECKLENBURG,7/26/22,019,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,114,75,0,0,189,Y
83,2866,MECKLENBURG,7/26/22,019,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,128,173,0,0,301,Y
84,2885,MECKLENBURG,7/26/22,020,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,122,48,0,0,170,Y
85,2886,MECKLENBURG,7/26/22,020,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,236,125,0,0,361,Y
86,2905,MECKLENBURG,7/26/22,021,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,88,22,0,0,110,Y
87,2906,MECKLENBURG,7/26/22,021,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,203,74,0,0,277,Y
88,2925,MECKLENBURG,7/26/22,022,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,72,29,0,0,101,Y
89,2926,MECKLENBURG,7/26/22,022,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,258,151,0,0,409,Y
