County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
ASHE,5/17/22,ONE STOP,2132,S,US SENATE (DEM),Greg Antoine,DEM,1,0,4,0,0,4,N
ASHE,5/17/22,ONE STOP,2134,S,US SENATE (REP),"Kenneth Harper, Jr.",REP,1,0,17,0,0,17,N
ASHE,5/17/22,TRANSFER,3,C,ASHE COUNTY BOARD OF COMMISSIONERS (REP),Terry D. Wagoner,REP,3,0,0,0,0,0,N
ASHE,5/17/22,TRANSFER,2104,S,US HOUSE OF REPRESENTATIVES DISTRICT 05 (REP),Michael Ackerman,REP,1,0,0,0,0,0,N
ASHE,5/17/22,TRANSFER,2132,S,US SENATE (DEM),Cheri Beasley,DEM,1,0,0,0,0,0,N
ASHE,5/17/22,TRANSFER,2134,S,US SENATE (REP),Charles Kenneth Moss,REP,1,0,0,0,0,0,N
AVERY,5/17/22,2,1393,S,NC DISTRICT COURT JUDGE DISTRICT 24 SEAT 01 (REP),Tom McMurray,REP,1,233,0,0,0,233,Y
AVERY,5/17/22,2,2132,S,US SENATE (DEM),Rett Newton,DEM,1,3,0,0,0,3,Y
AVERY,5/17/22,2,2134,S,US SENATE (REP),Drew Bulecza,REP,1,0,0,0,0,0,Y
AVERY,5/17/22,2,2134,S,US SENATE (REP),Jen Banwart,REP,1,6,0,0,0,6,Y
AVERY,5/17/22,3,3,C,AVERY COUNTY BOARD OF COMMISSIONERS (REP),Glenn R. Johnson,REP,3,40,0,0,0,40,Y
AVERY,5/17/22,3,10,C,AVERY COUNTY BOARD OF EDUCATION,Dustin Trice, ,2,15,0,0,0,15,Y
AVERY,5/17/22,3,1984,S,NC STATE SENATE DISTRICT 47 (REP),Deanna Ballard,REP,1,45,0,0,0,45,Y
AVERY,5/17/22,3,2132,S,US SENATE (DEM),Alyssia Rose-Katherine Hammond,DEM,1,1,0,0,0,1,Y
AVERY,5/17/22,3,2132,S,US SENATE (DEM),Tobias LaGrone,DEM,1,0,0,0,0,0,Y
AVERY,5/17/22,4,9,C,AVERY COUNTY SHERIFF (REP),Mike Henley,REP,1,16,0,0,0,16,Y
AVERY,5/17/22,4,10,C,AVERY COUNTY BOARD OF EDUCATION,Linda Webb, ,2,10,0,0,0,10,Y
AVERY,5/17/22,4,2104,S,US HOUSE OF REPRESENTATIVES DISTRICT 05 (REP),Michael Ackerman,REP,1,3,0,0,0,3,Y
AVERY,5/17/22,4,2132,S,US SENATE (DEM),Cheri Beasley,DEM,1,0,0,0,0,0,Y
AVERY,5/17/22,5,9,C,AVERY COUNTY SHERIFF (REP),Lee Buchanan,REP,1,16,0,0,0,16,Y
AVERY,5/17/22,5,1393,S,NC DISTRICT COURT JUDGE DISTRICT 24 SEAT 01 (REP),Tom McMurray,REP,1,24,0,0,0,24,Y
AVERY,5/17/22,5,2132,S,US SENATE (DEM),Chrelle Booker,DEM,1,0,0,0,0,0,Y
AVERY,5/17/22,5,2132,S,US SENATE (DEM),Rett Newton,DEM,1,0,0,0,0,0,Y
AVERY,5/17/22,5,2134,S,US SENATE (REP),Drew Bulecza,REP,1,0,0,0,0,0,Y
AVERY,5/17/22,5,2134,S,US SENATE (REP),Jen Banwart,REP,1,0,0,0,0,0,Y
AVERY,5/17/22,6,10,C,AVERY COUNTY BOARD OF EDUCATION,Dustin Trice, ,2,32,0,0,0,32,Y
AVERY,5/17/22,6,2132,S,US SENATE (DEM),Alyssia Rose-Katherine Hammond,DEM,1,2,0,0,0,2,Y
AVERY,5/17/22,7,9,C,AVERY COUNTY SHERIFF (REP),Mike Henley,REP,1,74,0,0,0,74,Y
AVERY,5/17/22,7,2104,S,US HOUSE OF REPRESENTATIVES DISTRICT 05 (REP),Michael Ackerman,REP,1,8,0,0,0,8,Y
AVERY,5/17/22,7,2132,S,US SENATE (DEM),Cheri Beasley,DEM,1,0,0,0,0,0,Y
AVERY,5/17/22,8,9,C,AVERY COUNTY SHERIFF (REP),Lee Buchanan,REP,1,22,0,0,0,22,Y
