ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Joey Trogdon,Jane Hughes Redding,Harry Okeke,Charles Swiers,Eddie Burks",5.0,32.0,3.0,19.0,6.0,23.0,46.0,9.0,19.0,33.0,22.0,28.0,6.0,15.0,17.0,51.0,16.0,10.0,23.0,25.0,16.0,3.0,36.0,9.0,87.0,15.0,15.0,71.0,45.0,13.0,7.0,9.0,5.0,45.0,81.0,40.0,30.0,26.0,23.0,18.0,28.0,19.0,70.0,55.0,38.0,87.0,20.0,7.0,31.0,10.0,45.0,39.0,38.0,17.0,14.0,42.0,51.0,11.0,47.0,15.0,17.0,22.0,9.0,17.0,22.0,56.0,18.0,39.0,4.0,32.0,6.0,76.0,24.0,17.0,24.0,49.0,2.0,19.0,14.0,27.0,44.0,19.0,41.0,44.0,22.0,22.0,63.0,24.0,28.0,1.0,3.0,87.0,18.0,30.0,99.0,5.0,12.0,1.0,30.0,11.0
"Joey Trogdon,Harry Okeke,Jane Hughes Redding,Eddie Burks,Charles Swiers",3.0,8.0,1.0,7.0,1.0,4.0,17.0,2.0,7.0,8.0,4.0,16.0,1.0,6.0,11.0,23.0,10.0,1.0,3.0,5.0,9.0,1.0,9.0,1.0,8.0,3.0,9.0,20.0,12.0,2.0,2.0,3.0,0.0,4.0,31.0,5.0,3.0,8.0,3.0,12.0,12.0,9.0,21.0,3.0,6.0,13.0,12.0,0.0,11.0,0.0,34.0,4.0,16.0,2.0,0.0,6.0,9.0,2.0,11.0,6.0,2.0,6.0,0.0,4.0,2.0,7.0,14.0,15.0,3.0,6.0,3.0,26.0,7.0,6.0,10.0,15.0,1.0,8.0,6.0,13.0,11.0,5.0,33.0,19.0,5.0,3.0,15.0,30.0,8.0,0.0,0.0,27.0,5.0,11.0,17.0,3.0,7.0,3.0,3.0,6.0
"Joey Trogdon,Harry Okeke,Jane Hughes Redding,Charles Swiers,Eddie Burks",2.0,19.0,2.0,13.0,3.0,13.0,47.0,4.0,17.0,25.0,9.0,46.0,12.0,11.0,18.0,40.0,14.0,8.0,14.0,18.0,22.0,3.0,19.0,4.0,13.0,8.0,15.0,77.0,34.0,8.0,3.0,5.0,3.0,29.0,64.0,15.0,7.0,24.0,16.0,16.0,13.0,12.0,54.0,6.0,21.0,35.0,20.0,5.0,27.0,2.0,63.0,16.0,29.0,12.0,10.0,15.0,28.0,9.0,14.0,11.0,10.0,21.0,3.0,20.0,14.0,23.0,23.0,30.0,8.0,14.0,12.0,81.0,22.0,8.0,26.0,28.0,1.0,17.0,14.0,17.0,29.0,13.0,79.0,32.0,6.0,15.0,37.0,34.0,17.0,2.0,1.0,58.0,22.0,14.0,49.0,4.0,12.0,0.0,13.0,14.0
"Joey Trogdon,Harry Okeke,Charles Swiers,Eddie Burks,Jane Hughes Redding",12.0,2.0,2.0,5.0,2.0,0.0,26.0,7.0,15.0,6.0,5.0,22.0,1.0,10.0,15.0,41.0,9.0,6.0,7.0,8.0,9.0,3.0,5.0,9.0,2.0,7.0,12.0,8.0,1.0,9.0,4.0,7.0,2.0,1.0,19.0,3.0,0.0,5.0,1.0,5.0,1.0,12.0,30.0,0.0,8.0,2.0,12.0,3.0,9.0,2.0,31.0,2.0,9.0,4.0,11.0,6.0,6.0,2.0,6.0,5.0,3.0,11.0,1.0,14.0,4.0,5.0,14.0,12.0,18.0,5.0,12.0,15.0,1.0,6.0,14.0,8.0,1.0,13.0,12.0,7.0,4.0,7.0,23.0,6.0,2.0,0.0,5.0,37.0,8.0,0.0,2.0,7.0,7.0,3.0,6.0,4.0,6.0,5.0,0.0,9.0
"Joey Trogdon,Harry Okeke,Charles Swiers,Jane Hughes Redding,Eddie Burks",20.0,19.0,7.0,22.0,3.0,9.0,42.0,19.0,24.0,23.0,19.0,60.0,5.0,26.0,48.0,68.0,19.0,16.0,11.0,17.0,57.0,8.0,9.0,28.0,22.0,12.0,15.0,34.0,19.0,21.0,5.0,24.0,7.0,11.0,51.0,5.0,3.0,20.0,12.0,19.0,7.0,32.0,48.0,2.0,9.0,11.0,34.0,10.0,28.0,4.0,78.0,13.0,37.0,14.0,13.0,18.0,17.0,8.0,20.0,23.0,4.0,34.0,3.0,40.0,10.0,11.0,24.0,30.0,25.0,9.0,34.0,33.0,15.0,21.0,41.0,31.0,3.0,36.0,17.0,12.0,12.0,7.0,61.0,32.0,4.0,2.0,9.0,67.0,14.0,0.0,12.0,18.0,11.0,16.0,12.0,15.0,20.0,9.0,3.0,22.0
"Joey Trogdon,Harry Okeke,Eddie Burks,Jane Hughes Redding,Charles Swiers",1.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,3.0,1.0,1.0,6.0,0.0,4.0,1.0,6.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,4.0,2.0,2.0,8.0,3.0,1.0,1.0,1.0,0.0,2.0,17.0,1.0,2.0,1.0,3.0,6.0,3.0,0.0,6.0,1.0,2.0,6.0,2.0,0.0,1.0,1.0,21.0,2.0,3.0,1.0,2.0,5.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,4.0,1.0,5.0,3.0,13.0,2.0,0.0,3.0,2.0,1.0,3.0,4.0,5.0,3.0,0.0,15.0,7.0,1.0,0.0,18.0,9.0,3.0,0.0,0.0,15.0,2.0,3.0,11.0,3.0,3.0,0.0,4.0,2.0
"Joey Trogdon,Harry Okeke,Eddie Burks,Charles Swiers,Jane Hughes Redding",4.0,2.0,2.0,6.0,0.0,1.0,10.0,7.0,4.0,3.0,3.0,9.0,0.0,3.0,7.0,7.0,3.0,4.0,0.0,3.0,6.0,0.0,2.0,3.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,3.0,0.0,2.0,1.0,1.0,3.0,5.0,11.0,1.0,2.0,2.0,6.0,3.0,3.0,0.0,11.0,2.0,5.0,4.0,4.0,0.0,2.0,2.0,3.0,0.0,0.0,6.0,0.0,7.0,4.0,1.0,8.0,8.0,6.0,3.0,4.0,8.0,4.0,5.0,12.0,1.0,1.0,5.0,4.0,2.0,2.0,4.0,10.0,6.0,0.0,0.0,2.0,15.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,2.0,0.0,4.0
"Joey Trogdon,Eddie Burks,Jane Hughes Redding,Harry Okeke,Charles Swiers",1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,2.0,5.0,4.0,0.0,2.0,1.0,0.0,3.0,6.0,1.0,4.0,0.0,1.0,3.0,5.0,2.0,1.0,2.0,3.0,9.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,6.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,3.0,5.0,0.0,4.0,4.0,2.0,1.0,6.0,2.0,3.0,1.0,0.0,6.0,1.0,1.0,9.0,0.0,0.0,1.0,2.0,1.0
"Joey Trogdon,Eddie Burks,Jane Hughes Redding,Charles Swiers,Harry Okeke",3.0,8.0,1.0,2.0,5.0,1.0,2.0,3.0,3.0,6.0,0.0,6.0,3.0,4.0,4.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,7.0,2.0,2.0,4.0,1.0,0.0,8.0,4.0,2.0,4.0,4.0,6.0,13.0,0.0,4.0,3.0,3.0,4.0,0.0,7.0,11.0,9.0,6.0,4.0,0.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0,6.0,1.0,9.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,6.0,4.0,3.0,0.0,6.0,6.0,4.0,3.0,7.0,9.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,5.0,7.0,2.0,0.0,3.0,12.0,1.0,5.0,9.0,3.0,2.0,4.0,2.0,2.0,7.0,4.0
"Joey Trogdon,Eddie Burks,Charles Swiers,Harry Okeke,Jane Hughes Redding",6.0,0.0,1.0,1.0,1.0,0.0,4.0,5.0,5.0,3.0,5.0,2.0,0.0,2.0,5.0,7.0,3.0,4.0,0.0,3.0,0.0,1.0,0.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,4.0,0.0,2.0,0.0,7.0,2.0,3.0,0.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,2.0,1.0,8.0,4.0,3.0,3.0,2.0,1.0,9.0,1.0,0.0,5.0,2.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,1.0,4.0
