ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Eddie Burks,Joey Trogdon,Charles Swiers,Jane Hughes Redding,Harry Okeke",4.0,8.0,10.0,7.0,6.0,7.0,3.0,1.0,5.0,9.0,5.0,5.0,10.0,7.0,7.0,9.0,5.0,4.0,5.0,8.0,7.0,9.0,6.0,15.0,10.0,5.0,11.0,12.0,6.0,9.0,9.0,7.0,11.0,8.0,8.0,13.0,12.0,13.0,7.0,6.0,11.0,6.0,5.0,8.0,5.0,6.0,13.0,3.0,9.0,6.0,5.0,8.0,7.0,5.0,7.0,11.0,6.0,14.0,13.0,16.0,15.0,8.0,6.0,6.0,4.0,10.0,6.0,6.0,8.0,10.0,3.0,6.0,3.0,8.0,7.0,6.0,7.0,11.0,13.0,10.0,7.0,7.0,9.0,11.0,9.0,5.0,11.0,6.0,9.0,10.0,7.0,6.0,4.0,8.0,13.0,2.0,6.0,6.0,7.0,9.0
"Eddie Burks,Joey Trogdon,Charles Swiers,Harry Okeke,Jane Hughes Redding",1.0,2.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,6.0,2.0,6.0,7.0,2.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,2.0,4.0,1.0,1.0,3.0,0.0,5.0,2.0,2.0,3.0,6.0,3.0,0.0,3.0,2.0,4.0,2.0,1.0,4.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0
"Eddie Burks,Jane Hughes Redding,Harry Okeke,Charles Swiers,Joey Trogdon",6.0,8.0,3.0,1.0,5.0,7.0,2.0,5.0,2.0,4.0,2.0,7.0,3.0,2.0,2.0,4.0,8.0,6.0,12.0,3.0,4.0,7.0,3.0,5.0,5.0,8.0,0.0,5.0,6.0,2.0,7.0,6.0,4.0,2.0,4.0,0.0,4.0,5.0,3.0,7.0,10.0,12.0,5.0,5.0,2.0,6.0,6.0,6.0,5.0,0.0,5.0,7.0,3.0,5.0,1.0,3.0,9.0,2.0,0.0,3.0,1.0,5.0,5.0,7.0,2.0,5.0,7.0,6.0,11.0,5.0,3.0,4.0,9.0,2.0,8.0,5.0,6.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,7.0,7.0,3.0,2.0,6.0,5.0,8.0,8.0,1.0,6.0,2.0,7.0,2.0,3.0,12.0,11.0
"Eddie Burks,Jane Hughes Redding,Harry Okeke,Joey Trogdon,Charles Swiers",21.0,30.0,1.0,16.0,14.0,18.0,19.0,21.0,11.0,8.0,15.0,21.0,11.0,19.0,17.0,17.0,22.0,19.0,32.0,5.0,23.0,14.0,9.0,12.0,17.0,28.0,9.0,24.0,13.0,10.0,17.0,21.0,16.0,16.0,17.0,7.0,13.0,23.0,24.0,23.0,14.0,32.0,26.0,22.0,17.0,21.0,11.0,25.0,21.0,3.0,34.0,24.0,23.0,25.0,1.0,21.0,23.0,4.0,10.0,8.0,3.0,23.0,16.0,18.0,28.0,15.0,23.0,10.0,22.0,18.0,22.0,12.0,28.0,13.0,21.0,14.0,11.0,10.0,24.0,9.0,11.0,20.0,13.0,21.0,27.0,23.0,8.0,9.0,19.0,17.0,16.0,18.0,1.0,33.0,15.0,35.0,10.0,17.0,34.0,27.0
"Eddie Burks,Jane Hughes Redding,Joey Trogdon,Charles Swiers,Harry Okeke",24.0,23.0,30.0,15.0,31.0,19.0,23.0,16.0,25.0,22.0,32.0,23.0,35.0,15.0,28.0,26.0,22.0,21.0,23.0,30.0,36.0,22.0,23.0,35.0,20.0,11.0,28.0,24.0,18.0,10.0,16.0,24.0,37.0,37.0,10.0,29.0,29.0,32.0,33.0,10.0,26.0,24.0,21.0,34.0,18.0,17.0,22.0,19.0,32.0,51.0,22.0,21.0,15.0,26.0,20.0,19.0,20.0,35.0,20.0,36.0,31.0,12.0,21.0,15.0,23.0,21.0,23.0,14.0,17.0,10.0,10.0,13.0,25.0,27.0,27.0,18.0,22.0,27.0,14.0,21.0,26.0,18.0,26.0,14.0,24.0,21.0,19.0,13.0,18.0,19.0,22.0,30.0,27.0,32.0,24.0,13.0,29.0,19.0,29.0,19.0
"Eddie Burks,Jane Hughes Redding,Joey Trogdon,Harry Okeke,Charles Swiers",82.0,78.0,88.0,100.0,112.0,70.0,46.0,59.0,104.0,67.0,94.0,64.0,93.0,52.0,78.0,88.0,91.0,67.0,74.0,107.0,88.0,56.0,74.0,116.0,60.0,61.0,84.0,51.0,74.0,62.0,78.0,81.0,97.0,129.0,69.0,81.0,83.0,115.0,111.0,57.0,86.0,76.0,81.0,101.0,59.0,67.0,98.0,74.0,101.0,135.0,76.0,62.0,81.0,89.0,84.0,74.0,79.0,113.0,81.0,104.0,126.0,64.0,79.0,59.0,64.0,84.0,75.0,48.0,70.0,55.0,63.0,66.0,74.0,56.0,65.0,93.0,94.0,110.0,49.0,95.0,92.0,71.0,85.0,87.0,85.0,63.0,65.0,57.0,81.0,82.0,59.0,90.0,94.0,95.0,98.0,66.0,85.0,73.0,84.0,84.0
"Eddie Burks,Jane Hughes Redding,Charles Swiers,Joey Trogdon,Harry Okeke",8.0,7.0,10.0,3.0,5.0,3.0,5.0,10.0,8.0,7.0,7.0,5.0,7.0,5.0,10.0,10.0,10.0,3.0,7.0,14.0,11.0,7.0,3.0,7.0,0.0,4.0,9.0,3.0,13.0,2.0,6.0,5.0,7.0,9.0,3.0,5.0,10.0,13.0,6.0,7.0,3.0,7.0,7.0,11.0,8.0,8.0,4.0,8.0,8.0,17.0,7.0,5.0,6.0,11.0,8.0,7.0,2.0,12.0,5.0,7.0,12.0,7.0,8.0,0.0,2.0,11.0,8.0,4.0,8.0,6.0,8.0,3.0,5.0,6.0,7.0,3.0,11.0,6.0,5.0,6.0,5.0,9.0,16.0,5.0,3.0,3.0,4.0,5.0,10.0,6.0,5.0,8.0,9.0,6.0,6.0,3.0,5.0,3.0,5.0,12.0
"Eddie Burks,Charles Swiers,Jane Hughes Redding,Joey Trogdon,Harry Okeke",3.0,2.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,7.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,6.0,4.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,1.0
"Eddie Burks,Charles Swiers,Joey Trogdon,Jane Hughes Redding,Harry Okeke",4.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,4.0,2.0,1.0,4.0,3.0,4.0,4.0,6.0,2.0,4.0,4.0,0.0,3.0,3.0,4.0,2.0,7.0,3.0,2.0,2.0,2.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,5.0,4.0,2.0,3.0,0.0,7.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,4.0,1.0,3.0,5.0,2.0,1.0,5.0,0.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0
"Joey Trogdon,Harry Okeke,Jane Hughes Redding,Charles Swiers,Eddie Burks",4.0,2.0,0.0,1.0,0.0,1.0,5.0,6.0,2.0,2.0,2.0,11.0,0.0,9.0,3.0,1.0,1.0,5.0,3.0,3.0,0.0,7.0,4.0,2.0,6.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,6.0,2.0,4.0,6.0,1.0,7.0,3.0,3.0,3.0,6.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,5.0,4.0,0.0,8.0,5.0,1.0,0.0,1.0,0.0,5.0,2.0,9.0,4.0,3.0,2.0,5.0,4.0,0.0,0.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,6.0,2.0,7.0,0.0,4.0,1.0,2.0,5.0,5.0,1.0,6.0,1.0,5.0,3.0,0.0,3.0,5.0
